line,dag_mean,dag_std,ratio_act8_flc_mean,deltaC_mean_mean,deltaC_mean_std,deltaC_mean_count,C_mean_mean,C_mean_std,C_mean_count,deltaN_mean_mean,deltaN_mean_std,deltaN_mean_count,N_mean_mean,N_mean_std,N_mean_count,CN_ratio_mean,CN_ratio_std,CN_ratio_count,label,hsd_test_early_flow
ID9908-06-R05,13.916666666666664,1.7816403745544234,0.012925533302620845,-30.953333333333333,0.17785762095938676,3,31.53333333333333,0.7571877794400346,3,3.5100000000000002,0.6158733636065129,3,6.1499999999999995,0.19052558883257642,3,5.132121111307487,0.25051789495549776,3,mut,cd
ID9925-03-R03,15.916666666666664,1.378954368902449,0.011142833770452944,-29.87,0.12165525060596603,3,32.800000000000004,0.45825756949558194,3,3.123333333333333,0.5650073745831407,3,6.043333333333334,0.36746881953892857,3,5.43882282451111,0.28386074722115656,3,mut,a
IDCS77069-05-R03,22.33333333333333,0.9847319278346618,1.5281578672629643,-30.80333333333333,0.11150485789118399,3,33.166666666666664,0.15275252316519392,3,3.263333333333333,0.8899625460283893,3,6.146666666666666,0.33650160970392573,3,5.4071609366559725,0.3092230145950431,3,mut,
WT-ID4807,119.0,18.915014612148145,88.79564757921719,-29.643333333333334,0.3579571668975682,3,32.833333333333336,0.11547005383792372,3,2.3333333333333335,1.0428966072115362,3,6.293333333333333,0.2150193789716017,3,5.2212252637637135,0.17976927458168668,3,wt,
WT-ID6138,52.2,6.876691711054734,112.55418638928528,-30.03,0.40951190458886505,3,33.63333333333333,0.6027713773341724,3,5.1499999999999995,0.7639371701913709,3,6.226666666666667,0.3839704849768187,3,5.418236236845527,0.40931571180583987,3,wt,
WT-ID6413,63.41666666666666,6.529072512906248,159.5213966192747,-30.206666666666667,0.8134699338840586,3,32.96666666666667,0.15275252316519608,3,1.0533333333333335,0.49943301185777994,3,6.516666666666667,0.13576941236277557,3,5.060359167401422,0.1131774706019546,3,wt,
WT-ID8234,101.66666666666669,19.685019685029527,126.65549610954969,-30.22666666666667,0.14502873278538286,3,33.56666666666667,0.873689494805407,3,4.16,0.4689349635077341,3,6.385,0.049497474683058526,2,5.200358132803492,0.1732079455669742,2,wt,
WT-ID8283,117.16666666666669,22.95780054928185,169.45929697954938,-30.406666666666666,0.3722006627255438,3,34.199999999999996,0.26457513110645914,3,0.935,0.44547727214752497,2,,,0,,,0,wt,
WT-ID9102,62.09090909090909,6.456849780729699,169.62128010145818,-30.22,0.35679125549822704,3,33.56666666666666,0.9237604307034052,3,0.18666666666666668,0.8704787954530159,3,6.706666666666666,0.1504437879519568,3,5.006839527939852,0.18656606151190555,3,wt,
WT-ID9111,100.875,17.058198699075557,121.61053075202877,-30.320000000000004,0.2563201123595241,3,32.73333333333333,0.32145502536643034,3,0.9666666666666667,0.24542480178933287,3,6.953333333333333,0.13428824718989124,3,4.70831550414401,0.06547424229292877,3,wt,
