pk,name,country,latitude,longitude,collector,collection_date,cs_number,species
212,MIB-69,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
213,MIB-70,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
214,MIB-73,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
215,MIB-75,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
216,MIB-76,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
217,MIB-77,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
218,MIB-79,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
219,MIB-80,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
220,MIB-81,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
221,MIB-82,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
222,MIB-83,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
223,MIB-84,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
224,MIB-86,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
225,MIB-87,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
226,MIB-88,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
227,MIB-89,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
228,MIB-9,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
229,MIB-90,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
230,MIB-92,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
231,MIB-93,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
232,MIB-94,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
233,MIB-95,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
234,MIB-96,France,47.3833,5.31667,Valerie Le Corre,,,Arabidopsis thaliana
235,MOG-10,France,48.6667,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
236,MOG-11,France,48.6667,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
237,MOG-12,France,48.6667,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
238,MOG-16,France,48.6667,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
239,MOG-28,France,48.6667,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
240,MOG-35,France,48.6667,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
241,MOG-36,France,48.6667,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
242,MOG-37,France,48.6667,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
243,MOG-38,France,48.6667,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
244,MOG-40,France,48.6667,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
245,MOG-41,France,48.6667,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
246,MOG-44,France,48.6667,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
247,MOG-45,France,48.6667,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
248,MOG-46,France,48.6667,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
249,MOG-49,France,48.6667,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
250,MOG-52,France,48.6667,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
251,MOG-54,France,48.6667,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
252,MOG-55,France,48.6667,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
253,MOG-57,France,48.6667,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
254,MOG-58,France,48.6667,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
255,MOG-67,France,48.6667,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
256,NOG,France,47.85,2.73333,Valerie Le Corre,,,Arabidopsis thaliana
257,PAR-10,France,46.65,-0.25,Valerie Le Corre,,,Arabidopsis thaliana
258,PAR-3,France,46.65,-0.25,Valerie Le Corre,,,Arabidopsis thaliana
259,PAR-4,France,46.65,-0.25,Valerie Le Corre,,,Arabidopsis thaliana
260,PAR-5,France,46.65,-0.25,Valerie Le Corre,,,Arabidopsis thaliana
261,PAR-6,France,46.65,-0.25,Valerie Le Corre,,,Arabidopsis thaliana
262,PAR-8,France,46.65,-0.25,Valerie Le Corre,,,Arabidopsis thaliana
263,PAR-9,France,46.65,-0.25,Valerie Le Corre,,,Arabidopsis thaliana
264,PON,France,45.75,4.71667,Valerie Le Corre,,,Arabidopsis thaliana
265,PYL-6,France,44.65,-1.16667,Valerie Le Corre,,CS77198,Arabidopsis thaliana
266,RAN,France,48.65,-2.0,Valerie Le Corre,,,Arabidopsis thaliana
267,ROM-1,France,45.5333,4.85,Valerie Le Corre,,,Arabidopsis thaliana
268,ROM-2,France,45.5333,4.85,Valerie Le Corre,,,Arabidopsis thaliana
269,ROM-9,France,45.5333,4.85,Valerie Le Corre,,,Arabidopsis thaliana
270,TOU-A1-10,France,46.6667,4.11667,Fabrice Roux,,,Arabidopsis thaliana
271,TOU-A1-100,France,46.6667,4.11667,Fabrice Roux,,,Arabidopsis thaliana
