paper	phenotype	numaccessions	phenotypecategory	stressstrategy
Bergelson_Brachi_PNAS_2015_PID_25775585	G7MSH	595	Metabolite	Tolerance
Bergelson_Brachi_PNAS_2015_PID_25775585	G7MTH	595	Metabolite	Tolerance
Bergelson_Brachi_PNAS_2015_PID_25775585	G8MSO	595	Metabolite	Tolerance
Bergelson_Brachi_PNAS_2015_PID_25775585	G8MTO	595	Metabolite	Tolerance
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU0_1	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU10_11	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU101_102	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU1026_1027	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU1037_1038	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU104_105	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU1076_1077	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU11_12	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU110_111	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU116_117	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU12_13	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU125_126	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU129_130	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU15_16	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU151_152	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU154_155	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU157_158	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU159_160	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU17_18	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU1782_1783	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU18_19	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU190_191	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU193_194	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU197_198	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU199_200	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU200_201	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU202_203	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU2052_2053	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU219_220	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU22_23	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU225_226	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU2284_2285	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU233_234	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU2331_2332	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU243_244	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU252_253	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU254_255	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU2561_2562	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU26_27	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU273_274	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU278_279	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU28_29	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU281_282	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU29_30	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU293_294	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU308_309	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU32_33	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU320_321	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU325_326	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU329_330	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU336_337	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU349_350	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU358_359	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU37_38	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU373_374	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU38_39	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU385_386	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU395_396	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU4_5	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU40_41	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU452_453	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU478_479	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU48_49	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU488_489	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU507_508	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU51_52	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU52_53	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU546_547	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU555_556	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU557_558	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU561_562	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU562_563	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU581_582	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU59_60	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU592_593	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU6_7	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU61_62	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU615_616	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU63_64	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU633_634	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU648_649	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU651_652	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU68_69	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU70_71	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU723_724	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU728_729	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU73_74	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU80_81	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU835_836	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU836_837	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU85_86	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU913_914	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU93_94	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU949_950	144	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1000_1001	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1051_1052	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1054_1055	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1084_1085	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1088_1089	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1091_1092	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1107_1108	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1136_1137	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1145_1146	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1152_1153	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1189_1190	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1197_1198	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1198_1199	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1202_1203	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1290_1291	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1386_1387	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1404_1405	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1425_1426	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1481_1482	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1492_1493	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1502_1503	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1537_1538	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1549_1550	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1576_1577	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1584_1585	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1614_1615	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1631_1632	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1644_1645	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1650_1651	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1660_1661	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1666_1667	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1671_1672	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1676_1677	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1713_1714	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1738_1739	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1762_1763	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1772_1773	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1786_1787	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1800_1801	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1805_1806	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1808_1809	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1822_1823	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1827_1828	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1845_1846	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1890_1891	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1941_1942	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1953_1954	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU2043_2044	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU2054_2055	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU2081_2082	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU2082_2083	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU2103_2104	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU2109_2110	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU2128_2129	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU2129_2130	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU2154_2155	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU2179_2180	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU2243_2244	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU2349_2350	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU2419_2420	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU2460_2461	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU2678_2679	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU2761_2762	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU2877_2878	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU2911_2912	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU2934_2935	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU3025_3026	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU3029_3030	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU3043_3044	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU3185_3186	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU3313_3313	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU3327_3327	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU3376_3376	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU3421_3421	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU3455_3455	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU3467_3467	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU3507_3507	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU3573_3573	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU3751_3751	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU3804_3804	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU3820_3820	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU3874_3874	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU3962_3962	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU4268_4268	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU600_601	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU621_622	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU763_764	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU776_777	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU780_781	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU822_823	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU850_851	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU883_884	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU892_893	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU899_900	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU905_906	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU907_908	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU910_911	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU917_918	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU921_922	145	Microbiome	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU998_999	145	Microbiome	NA
Bergelson_Vetter_PlosGen_2016_PID_27336582	elfDC	186	Defense	NA
Bergelson_Vetter_PlosGen_2016_PID_27336582	elfPs	186	Defense	NA
Bergelson_Vetter_PlosGen_2016_PID_27336582	elfPv	186	Defense	NA
Bergelson_Vetter_PlosGen_2016_PID_27336582	flgPa	186	Defense	NA
Bergelson_Vetter_PlosGen_2016_PID_27336582	flgPsHRm	186	Defense	NA
Bergelson_Vetter_PlosGen_2016_PID_27336582	flgPsHRp	186	Defense	NA
Bergelson_Vetter_PlosGen_2016_PID_27336582	flgPv	186	Defense	NA
Berthom_Aoun_FronPlaSci_2017_PID_28878784	day10_27C_cut	151	Defense	NA
Berthom_Aoun_FronPlaSci_2017_PID_28878784	day10_30C_cut	141	Defense	NA
Berthom_Aoun_FronPlaSci_2017_PID_28878784	day10_30C_uncut	158	Defense	NA
Berthom_Aoun_FronPlaSci_2017_PID_28878784	day11_27C_cut	151	Defense	NA
Berthom_Aoun_FronPlaSci_2017_PID_28878784	day11_27C_uncut	161	Defense	NA
Berthom_Aoun_FronPlaSci_2017_PID_28878784	day12_27C_cut	151	Defense	NA
Berthom_Aoun_FronPlaSci_2017_PID_28878784	day13_27C_cut	151	Defense	NA
Berthom_Aoun_FronPlaSci_2017_PID_28878784	day13_27C_uncut	161	Defense	NA
Berthom_Aoun_FronPlaSci_2017_PID_28878784	day3_27C_cut	151	Defense	NA
Berthom_Aoun_FronPlaSci_2017_PID_28878784	day3_27C_uncut	163	Defense	NA
Berthom_Aoun_FronPlaSci_2017_PID_28878784	day3_30C_cut	141	Defense	NA
Berthom_Aoun_FronPlaSci_2017_PID_28878784	day3_30C_uncut	158	Defense	NA
Berthom_Aoun_FronPlaSci_2017_PID_28878784	day4_27C_cut	152	Defense	NA
Berthom_Aoun_FronPlaSci_2017_PID_28878784	day4_27C_uncut	163	Defense	NA
Berthom_Aoun_FronPlaSci_2017_PID_28878784	day4_30C_cut	141	Defense	NA
Berthom_Aoun_FronPlaSci_2017_PID_28878784	day4_30C_uncut	158	Defense	NA
Berthom_Aoun_FronPlaSci_2017_PID_28878784	day5_27C_cut	151	Defense	NA
Berthom_Aoun_FronPlaSci_2017_PID_28878784	day5_27C_uncut	163	Defense	NA
Berthom_Aoun_FronPlaSci_2017_PID_28878784	day5_30C_cut	141	Defense	NA
Berthom_Aoun_FronPlaSci_2017_PID_28878784	day5_30C_uncut	158	Defense	NA
Berthom_Aoun_FronPlaSci_2017_PID_28878784	day6_27C_cut	151	Defense	NA
Berthom_Aoun_FronPlaSci_2017_PID_28878784	day6_27C_uncut	163	Defense	NA
Berthom_Aoun_FronPlaSci_2017_PID_28878784	day6_30C_cut	141	Defense	NA
Berthom_Aoun_FronPlaSci_2017_PID_28878784	day6_30C_uncut	158	Defense	NA
Berthom_Aoun_FronPlaSci_2017_PID_28878784	day7_27C_cut	151	Defense	NA
Berthom_Aoun_FronPlaSci_2017_PID_28878784	day7_27C_uncut	163	Defense	NA
Berthom_Aoun_FronPlaSci_2017_PID_28878784	day7_30C_cut	141	Defense	NA
Berthom_Aoun_FronPlaSci_2017_PID_28878784	day7_30C_uncut	158	Defense	NA
Berthom_Aoun_FronPlaSci_2017_PID_28878784	day8_27C_uncut	163	Defense	NA
Berthom_Aoun_FronPlaSci_2017_PID_28878784	day9_27C_uncut	163	Defense	NA
Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603	LB_vs_PR_DhighN_vs_lowN	82	Development	Avoidance
Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603	LB_vs_PR_highN	82	Development	Avoidance
Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603	LB_vs_PR_lowN	82	Development	Avoidance
Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603	LR_count_DhighN_vs_lowN	82	Development	Avoidance
Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603	LR_count_highN	82	Development	Avoidance
Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603	LR_count_lowN	82	Development	Avoidance
Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603	LRdensity_DhighN_vs_lowN	82	Development	Avoidance
Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603	LRdensity_highN	82	Development	Avoidance
Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603	LRdensity_lowN	82	Development	Avoidance
Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603	LRlengthave_DhighN_vs_lowN	82	Development	Avoidance
Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603	LRlengthave_highN	82	Development	Avoidance
Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603	LRlengthave_lowN	82	Development	Avoidance
Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603	LRtot_DhighN_vs_lowN	82	Development	Avoidance
Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603	LRtot_highN	82	Development	Avoidance
Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603	LRtot_lowN	82	Development	Avoidance
Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603	PR_DhighN_vs_lowN	82	Development	Avoidance
Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603	PR_highN	82	Development	Avoidance
Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603	PR_lowN	82	Development	Avoidance
Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603	PR_plus_LRtot_DhighN_vs_lowN	82	Development	Avoidance
Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603	PR_plus_LRtot_highN	82	Development	Avoidance
