id,wt_dc13,flc_mut_dc13
9819,-36.9364819471,-31.1849833333333
9820,-36.3932581777,-31.0600833333333
9821,-35.1530395232,-30.6479
9822,-36.7453653349,-31.1526833333333
9824,-36.9463644533,-31.18655
9825,-35.5046433431,-30.8485666666667
9826,-36.9164410764,-31.1436333333333
9831,-36.5585656658766,-31.1401333333333
9833,-36.4481674206,-31.0961833333333
9834,-34.9274238398,-30.7956
9836,-35.5284865654,-30.7919666666666
9839,-37.0783370512,-31.2809666666667
9840,-37.2408445305,-31.2748666666667
9841,-35.3541422167,-30.6187666666666
9843,-37.0581620557,-31.2809666666667
9844,-33.4952168781,-30.4713666666666
9846,-35.4321351655,-30.5837666666667
9848,-37.3353429495,-31.3033333333333
9849,-35.8284387313,-30.8305
9850,-34.3170379069,-30.6365
9851,-37.068325798,-31.2809666666667
9852,-36.0831691381,-31.0037666666667
9853,-38.0427791431,-31.2748666666667
9855,-35.8228275459,-30.8244333333333
9856,-36.7855251627,-31.18865
9857,-35.6208007735,-30.8008666666666
9858,-35.4490124522,-30.5701666666667
9861,-35.5926797544,-30.8013333333333
9864,-36.5824632976,-31.1649166666667
9866,-35.311540231,-30.6121
9867,-36.4745308218,-31.0771166666667
9868,-36.4368314734,-31.1106833333333
9870,-34.2460367212,-30.6325333333333
9874,-35.5638597947,-30.7912333333333
9877,-34.6726590399,-30.6365666666666
9878,-34.6603171238,-30.6365666666666
9880,-36.6181358678,-31.1649833333333
9881,-36.5400877776,-31.0998
9882,-36.0710368803,-30.8308
9885,-34.768159596,-30.6336333333333
9886,-36.1968975035,-30.8945333333333
9888,-35.0401822817,-30.6689333333333
9890,-37.2427908968,-31.2748666666667
9892,-34.5021125727,-30.563
9895,-36.596470993,-31.1165833333333
9897,-36.5163464277,-31.07075
9898,-34.3624788047,-30.6370333333333
9899,-33.9327167392,-30.4408666666666
9902,-35.8954985323,-30.8564422222222
9904,-36.303202665,-30.8057166666666
9906,-35.8714172372,-30.9060666666667
9908,-35.4777221432826,-30.9533333333333
991,-33.0693099438,-30.4713666666666
9918,-36.2045263349466,-30.9025666666667
992,-34.8049498733,-30.6740666666666
9925,-35.4356042727226,-29.87
9928,-36.9159756063386,-31.2550666666667
9935,-35.608377249735,-30.8251333333333
9938,-36.2548987766,-30.88865
9949,-34.564865911,-30.6365666666666
9950,-36.4882955289,-31.0991333333333
997,-34.4391914141,-30.6370333333333
