id	name	country	latitude	longitude	cs_number	RegMap	G1001
6899	Bay-0	GER	49	11		TRUE	FALSE
6900	Bil-5	Sweden	63.324	18.484	CS76709	TRUE	TRUE
6901	Bil-7	Sweden	63.324	18.484	CS76710	TRUE	TRUE
6903	Bor-4	Czech Republic	49.4013	16.2326	CS76454	TRUE	TRUE
6904	Br-0	Czech Republic	49.2	16.6166	CS76455	TRUE	TRUE
6905	Bur-0	Ireland	54.1	-6.2		TRUE	FALSE
6906	C24	POR	40.2077	-8.42639		TRUE	FALSE
6907	CIBC-17	UK	51.4083	-0.6383	CS76770	TRUE	TRUE
6908	CIBC-5	UK	51.4083	-0.6383	CS78894	TRUE	TRUE
6909	Col-0	US	38.3	-92.3	CS76778	TRUE	TRUE
6910	Ct-1	Italy	37.3	15		TRUE	FALSE
6911	Cvi-0	Cape Verde	15.1111	-23.6167	CS76789	TRUE	TRUE
6913	Eden-2	Sweden	62.877	18.177	CS76827	TRUE	TRUE
6914	Edi-0	UK	55.9494	-3.16028		TRUE	FALSE
6915	Ei-2	GER	50.3	6.3	CS76478	TRUE	TRUE
6916	Est-1	Russia	58.3	25.3		TRUE	FALSE
6917	Fäb-2	Sweden	63.0165	18.3174	CS76850	TRUE	TRUE
6918	Fäb-4	Sweden	63.0165	18.3174	CS76851	TRUE	TRUE
6919	Ga-0	GER	50.3	8	CS76490	TRUE	TRUE
6920	Got-22	GER	51.5338	9.9355	CS76884	TRUE	TRUE
6921	Got-7	GER	51.5338	9.9355		TRUE	FALSE
6922	Gu-0	GER	50.3	8	CS76498	TRUE	TRUE
6923	HR-10	UK	51.4083	-0.6383	CS76940	TRUE	TRUE
6924	HR-5	UK	51.4083	-0.6383	CS76514	TRUE	TRUE
6926	Kin-0	US	44.46	-85.37	CS76527	TRUE	TRUE
6927	KNO-10	US	41.2816	-86.621	CS76973	TRUE	TRUE
6928	KNO-18	US	41.2816	-86.621		TRUE	FALSE
6929	Kondara	Tajikistan	38.48	68.49	CS76532	TRUE	TRUE
6930	Kz-1	Kazakhstan	49.5	73.1		TRUE	FALSE
6931	Kz-9	Kazakhstan	49.5	73.1	CS76537	TRUE	TRUE
6932	Ler-1	GER	47.984	10.8719	CS77021	TRUE	TRUE
6933	LL-0	Spain	41.59	2.49	CS77047	TRUE	TRUE
6936	Lz-0	France	46	3.3		TRUE	FALSE
6937	Mrk-0	GER	49	9.3		TRUE	FALSE
6938	Ms-0	Russia	55.7522	37.6322	CS76555	TRUE	TRUE
6939	Mt-0	LIB	32.34	22.46		TRUE	FALSE
6940	Mz-0	GER	50.3	8.3	CS76557	TRUE	TRUE
6942	Nd-1	GER	50	10		TRUE	FALSE
6943	NFA-10	UK	51.4083	-0.6383	CS77126	TRUE	TRUE
6944	NFA-8	UK	51.4083	-0.6383	CS78913	TRUE	TRUE
6945	Nok-3	NED	52.24	4.45	CS76562	TRUE	TRUE
6946	Oy-0	Norway	60.39	6.19		TRUE	FALSE
6947	Pu2-10	Czech Republic	49.42	16.36		FALSE	FALSE
6948	Pu2-16	Czech Republic	49.42	16.36		FALSE	FALSE
6949	Pu2-2	Czech Republic	49.42	16.36		FALSE	FALSE
6950	Pu2-22	Czech Republic	49.42	16.36		FALSE	FALSE
