Locus	TAIR internal locus id	Gene Model(s)	GO term	GO ID	TAIR internal GO id	category	GO Slim(s)	Evidence code	Reference	Made by	date last modified
AT4G00232	505006410	AT4G00232	regulation of developmental process	GO:0050793	17954	proc	other biological processes	IEA	Publication:501796011|PMID:34562334  		11/14/2022 00:00:00
AT4G00240	2126001	AT4G00240	phospholipase D activity	GO:0004630	3707	func	hydrolase activity	IDA	Publication:3358|PMID:9054397   	TAIR	09/30/2004 00:00:00
AT4G00240	6532554666	AT4G00240.2	nucleus	GO:0005634	537	comp	nucleus	ISM	AnalysisReference:501780126		08/31/2018 00:00:00
AT4G00240	2126001	AT4G00240	calcium ion binding	GO:0005509	1755	func	other binding	IEA	AnalysisReference:501756966		11/26/2022 00:00:00
AT4G00240	2126001	AT4G00240	protein binding	GO:0005515	3877	func	protein binding	IPI	Publication:501790246|PMID:32612234  		11/22/2022 00:00:00
AT4G00240	2126001	AT4G00240	phospholipid catabolic process	GO:0009395	6740	proc	catabolic process | lipid metabolic process | other cellular processes | other metabolic processes	IBA	Communication:501741973		11/23/2022 00:00:00
AT4G00240	2126001	AT4G00240	phospholipase D activity	GO:0004630	3707	func	hydrolase activity	IBA	Communication:501741973		11/23/2022 00:00:00
AT4G00240	2126001	AT4G00240	plasma membrane	GO:0005886	570	comp	plasma membrane	IBA	Communication:501741973		11/23/2022 00:00:00
AT4G00240	2126001	AT4G00240	phosphatidylcholine metabolic process	GO:0046470	13390	proc	other metabolic processes | lipid metabolic process | other cellular processes	IEA	AnalysisReference:501756966		11/26/2022 00:00:00
AT4G00240	2126001	AT4G00240	N-acylphosphatidylethanolamine-specific phospholipase D activity	GO:0070290	31363	func	hydrolase activity	IEA	AnalysisReference:501756967		11/26/2022 00:00:00
AT4G00240	2126001	AT4G00240	phospholipase D activity	GO:0004630	3707	func	hydrolase activity	IEA	AnalysisReference:501756967		11/26/2022 00:00:00
AT4G00240	2126001	AT4G00240	membrane	GO:0016020	453	comp	other membranes	IEA	AnalysisReference:501756966		11/26/2022 00:00:00
AT4G00240	2126000	AT4G00240.1	nucleus	GO:0005634	537	comp	nucleus	ISM	AnalysisReference:501780126		08/31/2018 00:00:00
