name	pve	se_pve
122_Yield_spain_2009_2nd_experiment	0.506295	0.291627
123_Size_sweden_2009_1st_experiment	0.9544	0.0378877
124_Yield_spain_2009_1st_experiment	0.705927	0.203423
125_DTFmainEffect2009	0.999987	0.000366047
126_DTFmainEffect2008	0.999988	0.000691375
127_Size_spain_2009_2nd_experiment	0.773473	0.192669
128_Size_spain_2009_1st_experiment	0.821077	0.116504
129_DTFplantingSummer2009	0.999987	0.000649236
130_DTFplantingSummer2008	0.999988	0.000588942
131_SizeMainEffect2009	0.824604	0.114953
132_DTF_spain_2008_1st_experiment	0.999988	0.000687774
133_YieldPlantingSummer2009	0.034844	0.180845
134_DTF_sweden_2009_1st_experiment	0.999987	0.000380539
135_YieldLocSweden2009	0.254669	0.36846
136_DTF_spain_2008_2nd_experiment	0.999988	0.000509287
137_YieldMainEffect2009	0.566096	0.134098
138_YieldPlantingSummerLocSweden2009	8.35128e-06	0.134376
139_Yield_sweden_2009_1st_experiment	0.675278	0.29753
140_DTF_sweden_2009_2nd_experiment	0.999987	0.000324018
141_DTF_sweden_2008_2nd_experiment	0.999988	0.000459449
D2_entrance_per	0.418313	0.427181
GEMINATION_4D_per	7.71233e-06	0.71852
GERMINATION_1D_per	0.999987	0.000549658
Direction_index	0.23588	0.188239
Root_angle	0.265422	0.213332
NC_0557	0.613711	0.208876
NC_0570	8.36304e-06	0.121625
NC_0596	0.0738684	0.11855
NC_0662	0.141678	0.364389
NC_0674	0.34548	0.282184
NC_0704	8.36304e-06	0.128505
NC_0705	8.54945e-06	0.115462
NC_0734	8.36304e-06	0.102303
NC_0790	0.510588	0.252433
NC_0928	0.634878	0.428649
NC_1008	8.36304e-06	0.143985
NC_1036	0.0413173	0.102574
NC_1057	8.35545e-06	0.13046
NC_1092	8.36304e-06	0.0966752
NC_1111	0.511404	0.636291
NC_1125	0.130005	0.320937
NC_1142	8.76571e-06	0.124653
NC_1201	8.53489e-06	0.151364
NC_1213	8.34601e-06	0.384544
NC_1260	0.841431	0.298549
NC_1295	7.4814e-06	0.628917
NC_1334	0.69147	0.284271
NC_1379	0.000669187	0.0890929
NC_1383	0.908749	0.199038
NC_1393	0.172579	0.33377
NC_1422	0.0229385	0.0809564
NC_1427	0.100638	0.112916
NC_1433	0.999988	0.00177847
NC_1474	0.999988	0.00162109
NC_1542	0.999984	0.00312325
NC_1548	0.00543724	0.132709
NC_1971	0.760869	1.06461
NC_2426	0.0441224	0.0975
PC_0435	8.36304e-06	0.121662
PC_0441	8.36304e-06	0.109574
PC_0446	0.639589	0.455032
PC_0448	0.728171	0.320691
PC_0451	0.999988	0.00106111
PC_0454	0.181092	0.443499
PC_0455	9.2594e-06	0.115296
PC_0490	0.0221803	0.124227
PC_0499	0.114942	0.206907
PC_0500	0.101717	0.215001
PC_0506	8.36304e-06	0.116241
PC_0512	0.532228	0.180269
PC_0526	0.999987	0.000792554
PC_0544	8.32203e-06	0.0985297
PC_0546	0.349078	0.41252
PC_0552	8.36304e-06	0.127967
PC_0558	8.36304e-06	0.0873184
PC_0570	8.36304e-06	0.221904
PC_0601	0.218113	0.417041
PC_0615	0.710844	0.199633
PC_0626	0.370127	0.394163
PC_0631	0.264037	0.339518
PC_0633	0.217823	0.258945
PC_0635	0.0632334	0.148872
PC_0638	8.36572e-06	0.144252
PC_0642	7.28318e-06	0.630808
PC_0658	8.36304e-06	0.167909
PC_0673	0.0710941	0.128639
PC_0684	0.291259	0.407669
PC_0688	8.36304e-06	0.134026
PC_0709	8.36304e-06	0.155347
PC_0712	8.36304e-06	0.104847
PC_0785	0.527867	0.447401
PC_0846	0.684051	0.287732
PC_0858	0.999988	0.00110038
PC_0866	8.34623e-06	0.139729
PC_0932	0.757727	0.151901
PC_1145	8.36304e-06	0.153863
PC_1181	0.870021	0.281332
PC_1237	0.633376	0.340496
PC_1246	0.556705	0.370471
PC_1248	7.91962e-06	0.513397
PC_1265	0.0440815	0.124442
PC_1274	0.999983	0.00550515
PC_1322	0.423532	0.353287
PC_1401	0.325668	0.323932
PC_1410	9.04495e-06	0.122284
PC_1435	0.127737	0.210824
PC_1465	0.866219	0.194772
PC_1490	0.443801	0.25196
PC_1491	8.36884e-06	0.10417
PC_1493	0.363758	0.329668
PC_1528	0.69404	0.241503
PC_1533	0.625869	0.233807
PC_1732	0.304718	0.340076
PC_1734	8.37035e-06	0.292694
PC_1755	0.307621	0.385103
PC_1782	8.36304e-06	0.130562
PC_1857	0.441286	0.267648
PC_1976	8.36304e-06	0.0932091
PC_1998	8.36304e-06	0.116956
PC_2045	0.471591	0.217585
PC_2372	0.452793	0.32157
PC_2395	0.35015	0.327484
PC_2413	0.518015	0.258703
met01	8.18914e-06	0.450918
met02	0.587529	0.345705
met03	0.0518636	0.209871
met04	8.18914e-06	0.230634
met05	8.18914e-06	0.52732
met06	0.085405	0.117059
met07	0.355945	0.217595
met08	0.00199908	0.0990107
met09	0.0604303	0.145993
met10	0.376206	0.334291
met11	0.662434	0.296188
met12	0.999988	0.00120011
met13	0.187447	0.357766
met14	0.406346	0.282944
met15	0.417101	0.262255
met16	0.648998	0.263488
met17	0.160321	0.152015
met18	0.376589	0.324464
met19	8.18914e-06	0.118698
met20	0.119385	0.292797
met21	0.2681	0.224448
met22	0.568541	0.418803
met23	0.23426	0.303551
met24	0.520254	0.309657
met25	0.678709	0.207104
met26	8.18914e-06	0.162916
met27	8.18914e-06	0.186335
met28	0.296444	0.295877
met29	0.0131069	0.0845325
met30	8.18914e-06	0.150886
met31	0.126808	0.357954
met32	0.571665	0.21235
met33	0.999988	0.00146694
met34	0.561742	0.347109
met35	0.26217	0.30794
met36	0.794499	0.323068
met37	0.559603	0.268558
met38	8.18914e-06	0.0975814
met39	8.18914e-06	0.109233
met40	0.095758	0.148192
met41	8.18914e-06	0.100741
met42	8.18914e-06	0.0967863
met43	8.18914e-06	0.108554
met44	8.18914e-06	0.111444
met45	8.18914e-06	0.103621
met46	0.129928	0.319233
met47	0.600934	0.291327
met48	8.18914e-06	0.0991413
met49	8.18914e-06	0.151889
met50	0.0164503	0.169518
met51	0.227247	0.228412
met52	0.490042	0.298259
met53	8.18914e-06	0.104928
met54	8.18914e-06	0.0984577
met55	0.491546	0.293645
met56	0.27223	0.250211
met57	8.18914e-06	0.0970763
met58	0.094253	0.179915
met59	0.210026	0.202047
met60	0.0176867	0.0956029
met61	0.837776	0.233159
met62	0.650172	0.260841
met63	8.18914e-06	0.143088
met64	8.18914e-06	0.100177
met65	0.873726	0.131492
met66	0.108303	0.214679
met67	0.3921	0.259375
met68	0.41226	0.22558
met69	0.327732	0.267577
met70	0.0826341	0.160827
met71	0.400849	0.245521
met72	0.164447	0.21404
met73	0.810487	0.299679
met74	0.113425	0.250433
met75	0.00792187	0.0686111
met76	0.109459	0.176813
met77	0.769407	0.281169
met78	0.0826336	0.124119
met79	8.18914e-06	0.102572
met80	0.402454	0.436185
met81	8.18914e-06	0.115961
met82	0.999988	0.00121605
met83	0.701165	0.276522
met84	0.509572	0.250218
met85	0.0874346	0.109668
met86	0.232117	0.295705
met87	0.271359	0.416587
met88	8.18914e-06	0.0949085
met89	0.999988	0.00356512
met90	0.298278	0.316596
met91	0.608628	0.231069
met92	0.999988	0.00130342
met93	0.15987	0.251141
met94	8.18914e-06	0.104153
142_Mature_cell_length	8.52943e-06	0.112442
143_Meristem_zone_length	8.52943e-06	0.114799
LR.no_ABA	0.96846	0.0647869
LR.no_C	0.254658	0.291983
LR.no_CK	0.163741	0.407499
LR.no_IAA	0.216705	0.435331
LRD_P_ABA	0.993629	0.0302898
LRD_P_C	0.522334	0.306652
LRD_P_CK	0.328218	0.534519
LRD_P_IAA	0.283042	0.493626
LRD_R_ABA	0.999986	0.000547305
LRD_R_C	7.02996e-06	0.689674
LRD_R_CK	7.10505e-06	0.44242
LRD_R_IAA	0.443447	0.464572
LRL_ABA	0.885857	0.141595
LRL_C	0.178846	0.266947
LRL_CK	0.461257	0.397225
