Locus	TAIR.internal.locus.id	GO.term	category	Evidence.code
AT4G00730	2127008	protein binding	func	IPI
AT4G00730	2127008	DNA-binding transcription factor activity	func	ISS
AT4G00730	2127008	anthocyanin accumulation in tissues in response to UV light	proc	IMP
AT4G00730	2127008	DNA-binding transcription factor activity, RNA polymerase II-specific	func	IEA
AT4G00730	2127008	root development	proc	IMP
AT4G00730	2127008	plant-type cell wall modification	proc	IMP
AT4G00730	2127008	root hair cell differentiation	proc	IMP
AT4G00740	2117733	S-adenosylmethionine-dependent methyltransferase activity	func	IBA
AT4G00740	2117733	cell wall pectin metabolic process	proc	IMP
AT4G00740	2117733	S-adenosylmethionine-dependent methyltransferase activity	func	IDA
AT4G00740	2117733	pectin biosynthetic process	proc	IEA
AT4G00740	2117733	cell wall biogenesis	proc	IMP
AT4G00750	2117728	shoot system development	proc	IEA
AT4G00750	2117728	cellular nitrogen compound biosynthetic process	proc	IEA
AT4G00750	2117728	molecular_function_unknown	func	ND
AT4G00750	2117728	hormone-mediated signaling pathway	proc	IEA
AT4G00750	2117728	organic substance catabolic process	proc	IEA
AT4G00750	2117728	cellular catabolic process	proc	IEA
AT4G00990	2125221	epigenetic regulation of gene expression	proc	IMP
AT4G00990	2125221	histone H3-K9 demethylation	proc	IDA
AT4G00990	2125221	histone H3-K9 demethylation	proc	IBA
AT4G00990	2125221	regulation of transcription by RNA polymerase II	proc	IBA
AT4G00990	2125221	protein binding	func	IPI
AT4G00990	2125221	defense response to bacterium	proc	IMP
AT4G00990	2125221	positive regulation of response to water deprivation	proc	IMP
AT4G00990	2125221	response to water deprivation	proc	IEP
AT4G00990	2125221	histone H3K9 demethylase activity	func	IBA
AT4G00990	2125221	epigenetic regulation of gene expression	proc	IMP
AT4G00990	2125221	regulation of photoperiodism, flowering	proc	IMP
AT4G00990	2125221	histone H3K9 demethylase activity	func	IDA
AT4G00990	2125221	regulation of stomatal closure	proc	IMP
AT4G00990	2125221	transcription coregulator activity	func	IBA
