,rFitness_mhi,rFitness_mhp,rFitness_mli,rFitness_mlp,rFitness_thi,rFitness_thp,rFitness_tli,rFitness_tlp,rSurvival_fruit_mhi,rSurvival_fruit_mhp,rSurvival_fruit_mli,rSurvival_fruit_mlp,rSurvival_fruit_thi,rSurvival_fruit_thp,rSurvival_fruit_tli,rSurvival_fruit_tlp,rSeeds_mhi,rSeeds_mhp,rSeeds_mli,rSeeds_mlp,rSeeds_thi,rSeeds_thp,rSeeds_tli,rSeeds_tlp
VarTemp,-0.682498038803983,-0.631788420610071,-0.376084124447472,-0.425590041192531,-0.674673262006772,-0.837392322898286,-0.564545297048069,-0.409598175430018,-0.732667002819699,-0.65446799191874,-0.463856684212754,-0.487511515641777,-0.729744689901359,-0.799355097534146,-0.644380843064999,-0.41226149083584,-0.605975836459117,-0.73040427677005,-0.183823092384583,-0.240388798101358,-0.688338753386232,-0.675361678140376,-0.565367652583109,-0.303130816962597
G2H3B,0.0408700719623399,0.0132693960542648,0.0389026970233286,0.0248195563405359,0.030882884811664,0.0234055561280835,0.0171048541968305,-0.0547424241206198,-0.0121446694334863,0.00281900047207432,0.0275609304581471,0.0374859445705838,-0.00169785011446955,0.00999538935188692,-0.000784483015916054,-0.00112853246964629,0.0441812666071442,0.013504464706931,-0.0241882067283536,0.104513352426267,0.0354093724760835,0.0183754028784061,-0.0534912044495689,0.0182764759108368
G2H4P,0.0512140508829817,0.0106581067368705,-0.0446849953807545,0.00428470045454111,0.0374105096645122,0.0392718018442277,-0.0439087232376164,-0.0748584856025662,0.0093371254514905,-0.00330000022172136,-0.0297575280678487,0.0254185044052981,-0.0237654699327827,0.029951190281731,-0.0564356175245236,-0.0561924888061575,0.0351458533434358,0.0170552146304636,-0.0884965513763619,0.0482089216780704,0.0650551936915546,0.0171570264305803,0.0328632053533599,0.0632964413773271
G2P,-0.0946588332582601,-0.0186762134147885,0.0880558061937052,0.00380152011859982,-0.0573798006467509,0.0317899940831334,0.0885148214474977,0.0436399494091201,-0.0399867142938239,-0.0289129490423341,0.0951550710109098,-0.0700854796536903,0.00163812889619978,0.0477807130276083,0.0188188945388058,0.0146205963688653,-0.0491378888032098,0.00596941375736017,0.0110667239296891,-0.017101159749348,-0.0569546588784181,-0.017517605623745,0.104786954604624,-0.116234220585562
G3B,-0.091076652047337,-0.0219278605712726,0.0598739450648449,0.102113055759385,-0.0427502329082545,0.0257348282092032,0.0944133261846231,-0.0658977424686862,-0.0433143788567915,-0.0269254759246085,0.0717897264667477,0.0237120885866944,-0.0078950402831473,0.0357718112663778,0.0201395802432367,-0.0413863388637999,-0.0416434464779348,0.00305956216418595,-0.084719367342052,0.0687467495477887,-0.0343512909062103,-0.0136037903277861,0.0909482000820312,-0.108705400126305
G3BOP,0.0400815011267614,0.0580618199893845,0.0810127564561379,-0.0677519464726401,0.047028101357625,0.0803219996855355,-0.0278157835792562,0.0252817896602678,0.00117011320281884,0.00424713129540817,0.100758022575691,-0.0846745448101653,0.0100441233904852,0.0297867012886301,-0.0469569831955843,0.0237560702902032,0.0331316742239684,0.0548526354651544,0.185791987249352,-0.0413619238094757,0.0394294406380156,0.0698528452664412,-0.165224673865697,0.0657822951772925
G3HP,0.0911927886517271,0.0528894530454866,-0.0680461591630733,0.146994638706735,0.0513717374026771,0.0152970484747509,-0.0337051071016137,0.0254196923741224,0.0155826398560488,0.0284427521209083,-0.0216925020453164,0.149000270248323,-0.00983392953083747,-0.0154666736941793,-0.0265409809340862,0.0377143492444623,0.0637463449367164,0.0249012594551835,0.118547891217024,0.149460166783917,0.0614651464934367,0.0358444376295696,0.0441183858000037,0.105242075411656
G3MSP,0.0859169080894594,0.0315558332609365,-0.0945991225208845,-0.0896122160040526,0.0733310098115399,0.0160394567591721,-0.0859179016664292,0.0425078807572285,0.0237344075161485,0.0351359768483122,-0.0412751136685617,-0.025280706907123,-0.00198336336749031,-0.0469802377275435,-0.07944896343295,0.00180180313851652,0.0556075949776608,-0.00068689258190976,0.182569045358573,-0.0590334359509799,0.0713327583630154,0.0613119011714009,-0.0312446814406278,0.0459071116323071
G3MTP,-0.0676251265588999,-0.0275272986024527,0.0918391729510281,0.0614545040782189,-0.00745980522299671,0.021092843740603,0.0714801203310874,0.0252091612661129,-0.0298243344005086,-0.0346034410915674,0.0451017060789368,0.00202905600745706,-0.000433137624841643,-0.0049535244202732,0.0141031556226279,0.0536510265958528,-0.0339575249118789,-0.00105769845904612,0.116308811914885,0.0618399396694258,-0.0128409918293542,0.0166247479058888,0.0398721460744411,-0.136961626190209
G4BOB,-0.0750998840927959,0.0156120565459155,0.00784363128221671,-0.0170275935905897,-0.0395171803300376,0.0469198178189229,0.0300662081324453,-0.0206391084351061,-0.0395852339560871,0.022101137024299,-0.0327710327728695,-0.0821134626943175,0.00430586565927666,0.0527542038664698,0.00341579845639914,-0.0260990899615292,-0.0328519443634385,-0.00782711097367397,-0.0954967183749056,-0.0381069296035323,-0.0421388022943222,0.00805798788180317,0.0369764356180172,-0.04210473364087
G4HB,0.0143523444417078,-0.0132022442583205,0.0162609022532055,0.0991340023786305,-0.0279986642245493,0.00829569095870969,-0.107535164929833,0.00619819925160028,-0.0173304575465201,-0.000668146669247397,0.080984320098167,-0.0492754875350558,-0.0170900397756741,0.00513729294452088,-0.082369233018551,0.0745362445893843,0.0302843687857869,-0.0152646595879048,0.0571476931810637,0.0229160693962733,-0.00957950248966575,0.00142907827361649,-0.279893205718397,-0.0730897012383683
G4MSB,0.0486472671730995,0.0227504678658893,-0.0410239090624594,-0.159215052759059,0.0193531647531236,2.26652036901241e-05,-0.0111150445094981,-0.0598341493398545,0.0222656778156127,0.0352515333938734,-0.0993105039615725,-0.10429871197118,0.00551790140451063,0.0102041574678534,0.0321407925054799,-0.0426779629115246,0.0246167697173476,-0.0104563759883477,-0.00775041552856517,-0.0832770361835295,0.012577886942363,0.000453899923196518,-0.139457073060455,0.118751536474347
G4MTB,0.00710588215068247,0.0028397484726594,-0.145935016743261,-0.12557979478906,0.0242792150841004,-0.000905728968900338,-0.0378753123329468,0.0306226320196592,0.0168411101511835,0.0326441121385518,-0.152032140664071,-0.0998882306971707,0.0116923111449595,0.0232939436674481,-0.0178709649756469,0.0213093373019207,-0.00616231859907753,-0.024587599511084,-0.152000478778444,-0.106191839351582,0.0169250754746776,-0.016670007780659,0.0239460666290538,0.121889669512136
G4P,-0.00439903243698578,0.0113797625186748,0.056294415706983,0.123963694943748,-0.00552621596368786,0.027238927271868,0.0215063885011318,-0.0684194342015415,-0.0317934917047622,0.00580302312269393,0.0402159276170884,0.0529188317923084,-0.0185010871322922,0.0231621650871216,-0.0121945189312214,-0.0426352529185754,0.026898599779998,0.0102269439628368,0.0300280170028117,0.107985777450277,0.0122111770349031,0.00759492011934745,-0.00143937013018698,-0.0193263210028834
G5MSP,0.0291309843920591,0.020546347290117,-0.0811216479217417,-0.0953259388589956,-0.00634334056115031,-0.00577707339856233,-0.0561532210250471,-0.0276361213895143,0.0129555197021579,0.026513104462179,-0.110299094970665,-0.0345486494663215,-0.00752608110370669,0.0187123657472561,-0.000445915157267101,-0.0360349097107707,0.0167254428053542,0.00357969779647828,-0.0877485126435818,-0.00676396554167197,-0.000984905953679402,-0.0210275278387593,0.0235559025678771,0.152958402821052
G5MTP,0.0264344295616968,0.00210891685568058,-0.125123143251256,-0.0797492569408908,0.0101096404540166,-0.0164539224967115,-0.0300704238783512,0.00643093866311345,0.0260425614317649,0.0339660395231537,-0.131757320595448,-0.0878593715558475,0.00973252917360502,-0.0033675302884888,0.00882161967447108,0.0181806889686204,0.00446677238783082,-0.0277690653456234,-0.130081890444839,-0.0956603315873012,0.00527108427620043,-0.00731645426572054,0.00475742024514769,0.158884266549944
G6MSH,0.0244073665056318,0.018685910011896,0.057407374442664,-0.0616902119722485,0.0324769251445834,0.0733968836544323,0.0139311037881355,0.0382392101945264,-0.0195179083506841,0.047018335309907,-0.06556558860981,-0.0461043898266699,-0.00111004557482552,0.0268965156874672,0.00869299371721878,-0.0174607795340177,0.0400191546230298,-0.0178394145597852,0.0650815097572989,0.013642389738964,0.0321836824917696,0.0538996857393679,0.0752737932319321,0.0384738259151637
G6MTH,-0.0597531732216544,0.00471018678703841,-0.126834496731733,-0.00775712285933929,-0.0551970720663315,0.0281054356129108,-0.00533043661892048,0.0794490963125464,-0.0389449516442596,-0.0107254744002744,-0.0278636761102054,-0.0486084523810709,0.000555195393952444,0.00245904871946973,-0.0300862930270276,0.0432581335567707,-0.0230713674782065,0.0165767620813394,-0.103853964406341,-0.0750906253157398,-0.0530513157955939,0.0178489749907756,0.137263106555966,0.065924343508856
