id,FT_variance,FT_Manzano.Piedras_2014,FT16_1001GC_2016,FT10_1001GC_2016,FT_Vidigal_2016,FT_Kooke_2016,FT_Aranzana_2005,FT10_Atwell_2010,FT16_Atwell_2010,FT_mhi,FT_mhp,FT_mli,FT_mlp,FT_thi,FT_thp,FT_tli,FT_tlp
6112,0.223902522305309,0.642341364899213,0.0949324182949571,0.825833492844781,0.987179336128471,0.964086967733231,1.0880247606595,0.629519214104637,0.83685332905516,1.01600293223318,0.972891664354516,-0.149626702734446,1.03693253483226,1.8005663388232,1.25787017836933,1.40969048289034,1.32834816378154
6114,0.268045632302652,0.784995661237939,0.687028387413521,1.45650355641138,1.59238733150086,0.260994524612708,0.50055391295367,0.471945255140743,1.19032880748191,1.19660915582931,1.03181648359607,0.343454609533562,1.4320665371416,1.95999691551163,1.499261056449,1.62888552585232,1.310141367457
6115,0.14014259637269,0.813526520505685,0.017280487918752,1.17982266477126,0.697836860192386,0.31958556446897,1.22510129179086,0.629519214104637,0.786356832137056,0.756670918864376,0.824488420259112,0.500717642730373,1.08097941523055,1.40595228786596,0.954281739522804,1.24989022576321,1.2193264866501
6122,1.07330613471416,1.04177339464765,0.609376457037316,1.10369343140122,1.21865330472496,0.671131786029231,-0.778827041661385,1.3784954147178,0.727444248191221,1.05305036271444,0.671720366008805,-2.76242976805347,1.01271962995655,1.18490430873777,0.821307644090203,1.21736450971078,1.16021606604699
6125,0.237028138850536,1.31281655769123,0.997636108918342,1.29781225323778,1.97636890655698,1.9967539935665,1.03637115319549,0.258798874136381,1.29853559200248,1.43587380793348,0.475304301870298,0.681719727139787,1.21234730381481,1.61030480029262,1.47180833997259,1.68191658463345,1.03018128004961
6126,0.241535557692145,1.14163140208476,0.570550491849214,1.40628674577248,1.88414099228906,1.9967539935665,1.98881339380845,0.719265134346993,1.40073088218207,1.2197637998801,1.04272848279451,1.51306615701402,1.53510017527296,2.16604123523072,2.22718699176875,1.75262466300828,1.72167504792299
6128,0.248434710303929,2.23055919746847,1.50237365636368,1.43194672038038,1.10291632042671,1.66717941085375,1.21120682901681,0.595292343028328,1.00096694403901,1.17345451177852,0.737192387388307,1.51306615701402,1.56910127587516,2.17590269089575,2.27437134821258,1.84100976097683,1.48689110009866
6131,0.427232042763787,2.04035346901873,2.43419682087814,1.1986479372672,2.04810172426448,2.28238529858421,2.14547228653,0.133971725820547,1.64479727974487,0.84928949506752,1.39191260118333,0.489809029480193,1.57296503730548,1.91707843577758,2.04102325816311,1.84878764959806,1.38249074761116
6132,0.168989621085536,1.29855112805736,1.0947010218886,1.40760469803269,1.89860812165571,2.17252710434663,1.28384837656145,0.812594402143625,1.35865045966756,0.710361630762804,0.999080472906316,1.51306615701402,1.39136825009625,1.98303665955973,1.78633497054018,1.68792677129531,1.55271428847335
6133,0.230645114149655,1.62665600963643,0.677321896116496,1.30356423080511,1.40672591560246,1.79900924393885,1.46661708212561,0.654165012214522,1.20836326525661,0.525124478356516,1.26096855842432,0.557480443352962,1.29400146209875,1.96200037151581,1.9918013954183,1.7250485124421,1.26703926879385
6134,0.368172221219474,1.52679800219932,1.01057809602018,1.15814893252458,0.963670255971163,1.31563318929349,-0.87021139835994,0.879177947642357,1.21136901873916,1.03452664747381,0.999080472906316,0.496288870277107,1.26463687518201,1.84548827456144,1.4572240843445,1.54544999337002,1.31398301225534
6136,0.0732905760387881,0.756464801970194,0.395833648502752,0.998908997988808,0.545932062604513,1.06955083420131,0.939198812574024,0.712738791950544,0.324674569189735,0.738147203623749,1.13002451566532,0.32542840005083,0.98258229078466,0.743231302304492,0.775088422210001,1.1473635121197,0.918717846972938
6137,0.151378309628361,0.528217927828231,0.522018035364085,1.15687488381277,1.25482111801459,1.36836512252753,2.14547228653,1.03253921457296,0.912598074432324,1.15029986772774,0.737192387388307,0.681719727139787,1.01426513454413,1.23251977977052,0.943021836280527,1.29372923435561,1.07112374539298
6138,0.157602574607502,0.784995661237939,0.638495930928393,0.974911536128259,0.987179336128471,0.260994524612708,1.04886003747911,1.66976393717847,0.979926732781756,0.756670918864376,0.815758813043709,0.566031436565558,1.07866115829509,1.65636202776656,1.41486540071879,1.39590240760724,1.3905341280684
6140,0.229683650860172,0.884853668675048,1.12382049577968,1.24707313267625,1.49352866142138,1.46211078453982,0.931365867937947,2.6267890824064,0.901777394717854,1.01600293223318,0.824488420259112,0.487479750542399,1.18813439881546,1.66263952324634,1.39717126705235,1.44009495659151,1.08424054554107
6142,0.112056615860391,0.870588239041175,1.28883084782911,0.908257827727212,1.01611357460779,1.63202478869773,1.41439745644039,0.915295244538413,0.735860335218948,0.330625468329915,0.966344462216565,0.414778347616397,0.702588379191361,0.634710768744579,0.840717572536413,0.914733934266491,0.797479206291887
6145,0.277594531663312,1.86916831341226,1.44413470858152,1.51899656557411,1.79914664270446,2.22379425872795,0.970530591118336,0.857700571838762,1.50593191322008,1.08083593557538,0.78558817164674,0.32542840005083,1.4197025005646,2.00364999578055,2.08402536483123,1.73353348184708,1.66727873742752
6148,0.766935867643855,1.24148940952186,1.21764991294512,1.51423937299696,1.50799578066104,1.43281526021736,-1.65350586196772,0.515911687388494,0.895765913000996,0.911035215623569,0.911784440035511,0.383018888883515,1.4750830810915,2.00825794459017,2.1152313823884,1.7469680167383,1.33812850091872
6149,0.150986988271895,1.29855112805736,0.958810143730239,1.4976999722246,1.5224628999007,1.84295252163389,1.34259546133203,0.950590615133499,1.08212202296134,0.830765779826892,0.824488420259112,0.282295196275823,1.25536384776471,1.7571803860215,1.12650464054277,1.42595334091655,1.27287706390931
6150,0.0865152689192676,1.60288029357807,1.06234605219271,0.974528069063751,0.984768141149373,1.10470545635734,1.02927767588892,0.795958369796451,0.853685490486488,0.779825562915162,0.802664408767809,0.101417769210629,0.935186817280708,0.799973628467407,0.888867063543863,0.9967553051813,0.793538971796509
6151,0.544640284133348,0.927649957576666,1.12705599158449,1.52418411813571,1.43566016420877,1.19845111836962,1.59716616200456,-1.1180919206594,0.937846322891376,0.822827043400643,0.769928398078058,0.32542840005083,1.51681170452342,1.98308118080427,1.69582679590703,1.82262566059937,1.27499685211339
6169,0.397258975756541,1.86916831341226,1.52178663895773,1.20011553534778,0.478418815856463,0.0193064972900284,0.81387169839678,0.00537238026033693,0.57715705378027,0.775194634105004,0.501493110422098,0.32542840005083,1.55132797331118,1.91781303631244,1.48649983277441,1.54332875101877,1.16195508637923
6172,0.324507638732217,1.55532886146706,1.54119962155178,0.618430547236753,0.046816301994927,-0.383506878651553,-0.419817081785468,0.54629963625873,-0.108152543644287,0.571433766458088,0.0450595880772265,0.919247278532426,0.30513612000838,0.18558045385129,0.355254887033684,0.310886944945402,0.463070605095069
6173,0.129373329336066,0.485421638926613,1.03646207410644,0.108240956920023,0.0902176698408941,0.366458391080787,-0.173079325749018,0.54629963625873,5.42408762795331e-05,0.460291475014317,-0.0157358584759685,0.800483502836107,-0.0523906043225822,-0.0801668547924496,-0.175890834480567,-0.0037640038226135,0.0709142173052101
6174,0.313489081962241,0.956180816844411,2.08476313418521,1.08362548287949,0.343392332487349,0.282966163460225,0.32431265864192,0.879177947642357,0.360743497363261,0.895598783169092,0.5407763232498,0.562955951443468,1.05470583742716,1.78253523478555,1.55566780983411,1.39342762486412,1.46040525189943
