"paper"	"phenotype"	"numaccessions"	"phenotypecategory"	"stressstrategy"	"name"	"pve"	"se_pve"	"raw_var"	"imp_var"	"rawquant_var"	"impquant_var"	"n"
"96"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU40_41"	144	"Microbiome"	NA	"16S_OTU40_41"	6.81661e-06	0.326172	0.0474670276248161	0.00519982746141849	0.996965988292023	0.999154775139211	117
"97"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU452_453"	144	"Microbiome"	NA	"16S_OTU452_453"	6.81661e-06	0.368149	0.0437295147724613	0.00479102993622213	0.997020291015202	0.999149336499098	117
"98"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU478_479"	144	"Microbiome"	NA	"16S_OTU478_479"	6.81661e-06	0.468477	0.0913089835467734	0.0105309549129002	0.996891146042528	0.999024891842201	117
"99"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU48_49"	144	"Microbiome"	NA	"16S_OTU48_49"	6.81661e-06	0.236249	0.0970915640550779	0.0113427575318884	0.997413912683985	0.999254368648005	117
"100"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU488_489"	144	"Microbiome"	NA	"16S_OTU488_489"	6.81661e-06	0.861483	0.0949614647903995	0.0121995718658103	0.997347140426834	0.998120839777401	117
"101"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU507_508"	144	"Microbiome"	NA	"16S_OTU507_508"	6.81661e-06	0.284801	0.0876741796885619	0.0094196797319053	0.995764110592606	0.99796469795174	117
"105"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU555_556"	144	"Microbiome"	NA	"16S_OTU555_556"	6.81661e-06	0.19342	0.119490795644348	0.0137689915883172	0.997146798143368	0.99919168103745	117
"106"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU557_558"	144	"Microbiome"	NA	"16S_OTU557_558"	6.81661e-06	0.262189	0.082439902928232	0.0100496923547535	0.996894567595345	0.99396800498335	117
"107"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU561_562"	144	"Microbiome"	NA	"16S_OTU561_562"	6.81661e-06	0.304781	0.101397114112181	0.010932712633858	0.996655757986958	0.998656553299377	117
"108"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU562_563"	144	"Microbiome"	NA	"16S_OTU562_563"	6.81661e-06	0.788281	0.0753617101078843	0.0100213588165492	0.997311289600505	0.999151789420647	117
"109"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU581_582"	144	"Microbiome"	NA	"16S_OTU581_582"	6.81661e-06	0.247806	0.107740196157204	0.0120021180380855	0.996972540692912	0.998011352422932	117
"110"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU59_60"	144	"Microbiome"	NA	"16S_OTU59_60"	6.81661e-06	0.273353	0.0507100634618504	0.00592710621394291	0.997656786704892	0.998979557464048	117
"111"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU592_593"	144	"Microbiome"	NA	"16S_OTU592_593"	6.81661e-06	0.255664	0.0952532455736813	0.0105003395493765	0.996094392791127	0.999112160009376	117
"112"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU6_7"	144	"Microbiome"	NA	"16S_OTU6_7"	6.81661e-06	0.40256	0.0375452138050387	0.00477290617499376	0.997656786704892	0.999241945279462	117
"113"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU61_62"	144	"Microbiome"	NA	"16S_OTU61_62"	6.81661e-06	0.318973	0.0899105369209861	0.010013462212357	0.997082305541333	0.999147662922336	117
"117"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU648_649"	144	"Microbiome"	NA	"16S_OTU648_649"	6.81661e-06	0.193878	0.0412013574448812	0.00565482161182796	0.997286885342476	0.998666950326806	117
"118"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU651_652"	144	"Microbiome"	NA	"16S_OTU651_652"	6.81661e-06	0.355829	0.126445167681698	0.0136808811430526	0.996499356489301	0.998516269829562	117
"119"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU68_69"	144	"Microbiome"	NA	"16S_OTU68_69"	6.81661e-06	0.37221	0.0912584154699646	0.0104636203332889	0.996287225906351	0.997748203795977	117
"120"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU70_71"	144	"Microbiome"	NA	"16S_OTU70_71"	6.81661e-06	0.303632	0.0363717783838786	0.00426940478283776	0.997269141841521	0.999222512041835	117
"122"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU728_729"	144	"Microbiome"	NA	"16S_OTU728_729"	6.81661e-06	0.155886	0.0820109796829402	0.0106286643441638	0.996563722540046	0.997746661211379	117
"123"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU73_74"	144	"Microbiome"	NA	"16S_OTU73_74"	6.81661e-06	0.39138	0.0768764702646578	0.00922110978435276	0.997076157336087	0.999010719745458	117
"124"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU80_81"	144	"Microbiome"	NA	"16S_OTU80_81"	6.81661e-06	0.350504	0.0279644385840362	0.00356712162678043	0.997656786704892	0.999166684567897	117
"125"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU835_836"	144	"Microbiome"	NA	"16S_OTU835_836"	6.81661e-06	0.250129	0.0847826226290292	0.011925236401005	0.997273129299868	0.99812735220938	117
"126"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU836_837"	144	"Microbiome"	NA	"16S_OTU836_837"	6.81661e-06	0.204238	0.105531649296604	0.0118688729307575	0.994833698761627	0.998673131688364	117
"128"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU913_914"	144	"Microbiome"	NA	"16S_OTU913_914"	6.81661e-06	0.253667	0.10148554224098	0.0121183380158144	0.997460526648146	0.999037625341258	117
"130"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU949_950"	144	"Microbiome"	NA	"16S_OTU949_950"	6.81661e-06	0.255017	0.0895558234502325	0.00978258458717973	0.996675083099102	0.998306656774785	117
"132"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU1051_1052"	145	"Microbiome"	NA	"ITS_OTU1051_1052"	6.81661e-06	0.292623	0.0412614205717654	0.00478095284712025	0.0412614205717654	0.845861353386052	117
"133"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU1054_1055"	145	"Microbiome"	NA	"ITS_OTU1054_1055"	6.81661e-06	0.234337	0.251252578838786	0.032093430451639	0.251252578838786	0.942150119019828	117
"135"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU1088_1089"	145	"Microbiome"	NA	"ITS_OTU1088_1089"	6.81661e-06	0.249906	0.0716180371352785	0.00845510850057106	0.0716180371352785	0.644472524000491	117
"138"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU1136_1137"	145	"Microbiome"	NA	"ITS_OTU1136_1137"	6.81661e-06	0.194963	0.249926318891836	0.0332162408223201	0.249926318891836	0.941673756925873	117
"140"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU1152_1153"	145	"Microbiome"	NA	"ITS_OTU1152_1153"	6.81661e-06	0.314764	0.211464780430298	0.0297699853157122	0.211464780430298	0.936628567424395	117
"141"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU1189_1190"	145	"Microbiome"	NA	"ITS_OTU1189_1190"	6.81661e-06	0.584056	0.0928381962864721	0.0115200863964447	0.0928381962864721	0.794618244121543	117
"143"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU1198_1199"	145	"Microbiome"	NA	"ITS_OTU1198_1199"	6.81661e-06	0.237422	0.0859121721190687	0.0100873135522768	0.0859121721190687	0.795949583790984	117
"144"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU1202_1203"	145	"Microbiome"	NA	"ITS_OTU1202_1203"	6.81661e-06	0.308238	0.15929855585028	0.0211249360961549	0.15929855585028	0.898693031861342	117
"150"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU1492_1493"	145	"Microbiome"	NA	"ITS_OTU1492_1493"	6.81661e-06	0.346617	0.183613321544356	0.0238219911583495	0.183613321544356	0.919428619840531	117
"155"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU1584_1585"	145	"Microbiome"	NA	"ITS_OTU1584_1585"	6.81661e-06	0.274018	0.0642499263188918	0.00742370696687877	0.0642499263188918	0.793806465627452	117
"156"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU1614_1615"	145	"Microbiome"	NA	"ITS_OTU1614_1615"	6.81661e-06	0.242808	0.204244031830239	0.0290146651749295	0.204244031830239	0.938210564318608	117
"157"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU1631_1632"	145	"Microbiome"	NA	"ITS_OTU1631_1632"	6.81661e-06	0.330822	0.15929855585028	0.0209748126393648	0.15929855585028	0.89214137187439	117
"162"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU1671_1672"	145	"Microbiome"	NA	"ITS_OTU1671_1672"	6.81661e-06	0.40999	0.218096080165046	0.0258350130915476	0.218096080165046	0.937504905166247	117
"164"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU1713_1714"	145	"Microbiome"	NA	"ITS_OTU1713_1714"	6.81661e-06	0.384859	0.112732095490716	0.0140632491900333	0.112732095490716	0.780033691099023	117
"166"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU1762_1763"	145	"Microbiome"	NA	"ITS_OTU1762_1763"	6.81661e-06	0.167459	0.0567344532861774	0.00650936173849537	0.0567344532861774	0.828798582336721	117
"167"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU1772_1773"	145	"Microbiome"	NA	"ITS_OTU1772_1773"	6.81661e-06	0.236474	0.142941349837902	0.0173008165707138	0.142941349837902	0.910714100987204	117
"169"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU1800_1801"	145	"Microbiome"	NA	"ITS_OTU1800_1801"	6.81661e-06	0.580702	0.125257883878574	0.0152331067757499	0.125257883878574	0.924713973225314	117
"171"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU1808_1809"	145	"Microbiome"	NA	"ITS_OTU1808_1809"	6.81661e-06	0.345436	0.179045092838196	0.0293184894607215	0.179045092838196	0.941361551136158	117
"172"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU1822_1823"	145	"Microbiome"	NA	"ITS_OTU1822_1823"	6.81661e-06	0.219778	0.119068670792809	0.0140997036726258	0.119068670792809	0.841544607413845	117
"173"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU1827_1828"	145	"Microbiome"	NA	"ITS_OTU1827_1828"	6.81661e-06	0.438294	0.0642499263188918	0.00749629132383905	0.0642499263188918	0.86079529247176	117
"174"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU1845_1846"	145	"Microbiome"	NA	"ITS_OTU1845_1846"	6.81661e-06	0.283029	0.0716180371352785	0.0083773600913689	0.0716180371352785	0.701087077220875	117
"177"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU1953_1954"	145	"Microbiome"	NA	"ITS_OTU1953_1954"	6.81661e-06	0.315755	0.0996168582375479	0.0115277983668586	0.0996168582375479	0.859382658192325	117
"180"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU2081_2082"	145	"Microbiome"	NA	"ITS_OTU2081_2082"	6.81661e-06	1.12764	0.131299734748011	0.0168357877071533	0.131299734748011	0.785650609996644	117
"182"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU2103_2104"	145	"Microbiome"	NA	"ITS_OTU2103_2104"	6.81661e-06	0.241407	0.112732095490716	0.0135660435556177	0.112732095490716	0.854232781683256	117
"185"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU2129_2130"	145	"Microbiome"	NA	"ITS_OTU2129_2130"	6.81661e-06	0.228034	0.0169466548776894	0.00184456564808988	0.0169466548776894	0.326510379802817	117
"186"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU2154_2155"	145	"Microbiome"	NA	"ITS_OTU2154_2155"	6.81661e-06	0.301107	0.0788387857353375	0.00950732194329845	0.0788387857353375	0.604396235567923	117
"188"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU2243_2244"	145	"Microbiome"	NA	"ITS_OTU2243_2244"	6.81661e-06	0.271054	0.131299734748011	0.0158648455041994	0.131299734748011	0.927280964943251	117
"190"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU2419_2420"	145	"Microbiome"	NA	"ITS_OTU2419_2420"	6.81661e-06	0.294563	0.0716180371352785	0.0085184395807597	0.0716180371352785	0.917457389767212	117
"192"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU2678_2679"	145	"Microbiome"	NA	"ITS_OTU2678_2679"	6.81661e-06	0.199853	0.0490716180371353	0.00556350418385661	0.0490716180371353	0.859393429464169	117
"193"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU2761_2762"	145	"Microbiome"	NA	"ITS_OTU2761_2762"	6.81661e-06	0.186265	0.0412614205717654	0.00452162039950586	0.0412614205717654	0.788291859532383	117
"196"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU2934_2935"	145	"Microbiome"	NA	"ITS_OTU2934_2935"	6.81661e-06	0.227838	0.0333038608900678	0.00368341607812973	0.0333038608900678	0.372869783849025	117
"201"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU3313_3313"	145	"Microbiome"	NA	"ITS_OTU3313_3313"	6.81661e-06	0.274364	0.131299734748011	0.0167330461739272	0.131299734748011	0.913250595926109	117
"203"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU3376_3376"	145	"Microbiome"	NA	"ITS_OTU3376_3376"	6.81661e-06	0.203873	0.174329501915709	0.0249713031722723	0.174329501915709	0.933232557736624	117
"206"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU3467_3467"	145	"Microbiome"	NA	"ITS_OTU3467_3467"	6.81661e-06	0.30624	0.119068670792809	0.014673990163858	0.119068670792809	0.752967990212488	117
"207"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU3507_3507"	145	"Microbiome"	NA	"ITS_OTU3507_3507"	6.81661e-06	0.309271	0.188034188034188	0.0242636244551663	0.188034188034188	0.937229688727637	117
"208"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU3573_3573"	145	"Microbiome"	NA	"ITS_OTU3573_3573"	6.81661e-06	0.272836	0.13719422340112	0.0164858483866707	0.13719422340112	0.919035699167023	117
"209"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU3751_3751"	145	"Microbiome"	NA	"ITS_OTU3751_3751"	6.81661e-06	0.562854	0.0251989389920424	0.00275395924138949	0.0251989389920424	0.355569444986467	117
"213"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU3962_3962"	145	"Microbiome"	NA	"ITS_OTU3962_3962"	6.81661e-06	0.203522	0.0716180371352785	0.00858811738106892	0.0716180371352785	0.539011573642246	117
"215"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU600_601"	145	"Microbiome"	NA	"ITS_OTU600_601"	6.81661e-06	0.628572	0.0788387857353375	0.00920456176335765	0.0788387857353375	0.861611144724767	117
"217"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU763_764"	145	"Microbiome"	NA	"ITS_OTU763_764"	6.81661e-06	0.301899	0.153993516062482	0.0186270315207173	0.153993516062482	0.927015060585685	117
"220"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU822_823"	145	"Microbiome"	NA	"ITS_OTU822_823"	6.81661e-06	0.281654	0.249926318891836	0.0357333442105836	0.249926318891836	0.941854308356692	117
"225"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"ITS_OTU905_906"	145	"Microbiome"	NA	"ITS_OTU905_906"	6.81661e-06	0.269491	0.169466548776894	0.0208218565912252	0.169466548776894	0.935071585944365	117
"237"	"Bergelson_Vetter_PlosGen_2016_PID_27336582"	"flgPv"	186	"Defense"	NA	"flgPv"	7.68197e-06	0.0999791	87.3126906216352	10.7413753116279	0.997764852466119	0.998449261116223	123
"240"	"Berthom_Aoun_FronPlaSci_2017_PID_28878784"	"day10_30C_uncut"	158	"Defense"	NA	"day10_30C_uncut"	8.07025e-06	0.0951314	0.161907862582994	0.0163533570970073	0.230369676925164	0.625329817317316	102
"241"	"Berthom_Aoun_FronPlaSci_2017_PID_28878784"	"day11_27C_cut"	151	"Defense"	NA	"day11_27C_cut"	7.90836e-06	0.100552	1.32542226522115	0.156954139163426	0.962662063343609	0.996306706649772	95
"243"	"Berthom_Aoun_FronPlaSci_2017_PID_28878784"	"day12_27C_cut"	151	"Defense"	NA	"day12_27C_cut"	7.90836e-06	0.209869	1.25990396676307	0.144268206584711	0.922801835073535	0.99283903993135	95
"244"	"Berthom_Aoun_FronPlaSci_2017_PID_28878784"	"day13_27C_cut"	151	"Defense"	NA	"day13_27C_cut"	7.90836e-06	0.117192	1.19004576257951	0.14901662115145	0.905438127278252	0.991319888229018	95
"248"	"Berthom_Aoun_FronPlaSci_2017_PID_28878784"	"day3_30C_cut"	141	"Defense"	NA	"day3_30C_cut"	7.92392e-06	0.148354	0.581186860605362	0.0731943145496311	0.954441687715704	0.995732779469288	89
