paper	phenotype	numaccessions	phenotypecategory	stressstrategy	pve	rho
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU373_374	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU38_39	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU385_386	144	Microbiome	NA	0.27373	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU395_396	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU4_5	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU40_41	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU452_453	144	Microbiome	NA	6.81661e-06	0.485042
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU478_479	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU48_49	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU488_489	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU507_508	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU51_52	144	Microbiome	NA	0.222074	0.704553
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU52_53	144	Microbiome	NA	0.0779362	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU546_547	144	Microbiome	NA	0.299669	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU555_556	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU557_558	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU561_562	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU562_563	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU581_582	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU59_60	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU592_593	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU6_7	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU61_62	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU615_616	144	Microbiome	NA	0.179258	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU63_64	144	Microbiome	NA	0.188314	0.934038
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU633_634	144	Microbiome	NA	0.158985	0.514993
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU648_649	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU651_652	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU68_69	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU70_71	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU723_724	144	Microbiome	NA	0.0871929	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU728_729	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU73_74	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU80_81	144	Microbiome	NA	6.81661e-06	0.532341
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU835_836	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU836_837	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU85_86	144	Microbiome	NA	0.0340165	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU913_914	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU93_94	144	Microbiome	NA	0.333197	0.384932
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU949_950	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1000_1001	145	Microbiome	NA	0.0897909	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1051_1052	145	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1054_1055	145	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1084_1085	145	Microbiome	NA	0.999985	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1088_1089	145	Microbiome	NA	6.81661e-06	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1091_1092	145	Microbiome	NA	0.999985	0.633928
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1107_1108	145	Microbiome	NA	0.23618	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1136_1137	145	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1145_1146	145	Microbiome	NA	0.014439	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1152_1153	145	Microbiome	NA	6.81661e-06	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1189_1190	145	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1197_1198	145	Microbiome	NA	0.029553	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1198_1199	145	Microbiome	NA	6.81661e-06	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1202_1203	145	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1290_1291	145	Microbiome	NA	0.0536316	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1386_1387	145	Microbiome	NA	0.446063	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1404_1405	145	Microbiome	NA	0.752369	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1425_1426	145	Microbiome	NA	0.0922452	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1481_1482	145	Microbiome	NA	0.290696	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1492_1493	145	Microbiome	NA	6.81661e-06	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1502_1503	145	Microbiome	NA	0.999985	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1537_1538	145	Microbiome	NA	0.208837	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1549_1550	145	Microbiome	NA	0.999985	0.999994
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1576_1577	145	Microbiome	NA	0.0125754	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1584_1585	145	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1614_1615	145	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1631_1632	145	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1644_1645	145	Microbiome	NA	0.999985	0.999982
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1650_1651	145	Microbiome	NA	0.0376092	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1660_1661	145	Microbiome	NA	0.332981	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1666_1667	145	Microbiome	NA	0.999985	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1671_1672	145	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1676_1677	145	Microbiome	NA	0.240558	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1713_1714	145	Microbiome	NA	6.81661e-06	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1738_1739	145	Microbiome	NA	0.18379	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1762_1763	145	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1772_1773	145	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1786_1787	145	Microbiome	NA	0.315884	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1800_1801	145	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1805_1806	145	Microbiome	NA	0.118037	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1808_1809	145	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1822_1823	145	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1827_1828	145	Microbiome	NA	6.81661e-06	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1845_1846	145	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1890_1891	145	Microbiome	NA	0.388248	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1941_1942	145	Microbiome	NA	0.569063	0.902353
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU1953_1954	145	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU2043_2044	145	Microbiome	NA	0.265318	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU2054_2055	145	Microbiome	NA	0.391131	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU2081_2082	145	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU2082_2083	145	Microbiome	NA	0.0883965	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU2103_2104	145	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU2109_2110	145	Microbiome	NA	0.999985	0.999972
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU2128_2129	145	Microbiome	NA	0.159324	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU2129_2130	145	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU2154_2155	145	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU2179_2180	145	Microbiome	NA	0.210227	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU2243_2244	145	Microbiome	NA	6.81661e-06	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU2349_2350	145	Microbiome	NA	0.999985	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU2419_2420	145	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU2460_2461	145	Microbiome	NA	0.999985	0.999991
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU2678_2679	145	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU2761_2762	145	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU2877_2878	145	Microbiome	NA	0.0736615	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU2911_2912	145	Microbiome	NA	0.453591	0.960004
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU2934_2935	145	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU3025_3026	145	Microbiome	NA	0.999985	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU3029_3030	145	Microbiome	NA	0.149853	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU3043_3044	145	Microbiome	NA	0.999985	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU3185_3186	145	Microbiome	NA	0.999985	0.99996
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU3313_3313	145	Microbiome	NA	6.81661e-06	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU3327_3327	145	Microbiome	NA	0.00798116	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU3376_3376	145	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU3421_3421	145	Microbiome	NA	0.411253	0.624862
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU3455_3455	145	Microbiome	NA	0.133366	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU3467_3467	145	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU3507_3507	145	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU3573_3573	145	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU3751_3751	145	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU3804_3804	145	Microbiome	NA	0.999985	0.731271
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU3820_3820	145	Microbiome	NA	0.46336	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU3874_3874	145	Microbiome	NA	0.336331	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU3962_3962	145	Microbiome	NA	6.81661e-06	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU4268_4268	145	Microbiome	NA	0.397692	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU600_601	145	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU621_622	145	Microbiome	NA	0.0412166	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU763_764	145	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU776_777	145	Microbiome	NA	0.0683468	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU780_781	145	Microbiome	NA	0.999985	NA
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU822_823	145	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU850_851	145	Microbiome	NA	0.0904133	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU883_884	145	Microbiome	NA	0.999985	0.524434
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU892_893	145	Microbiome	NA	0.999985	0.47663
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU899_900	145	Microbiome	NA	0.0893681	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU905_906	145	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU907_908	145	Microbiome	NA	0.332981	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU910_911	145	Microbiome	NA	0.999985	0.999964
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU917_918	145	Microbiome	NA	0.130549	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU921_922	145	Microbiome	NA	0.999985	1
Bergelson_Horton_NatCommun_2014_PID_25382143	ITS_OTU998_999	145	Microbiome	NA	0.0138575	1
Bergelson_Vetter_PlosGen_2016_PID_27336582	elfDC	186	Defense	NA	0.263318	1
Bergelson_Vetter_PlosGen_2016_PID_27336582	elfPs	186	Defense	NA	0.27958	1
Bergelson_Vetter_PlosGen_2016_PID_27336582	elfPv	186	Defense	NA	0.0947692	1
Bergelson_Vetter_PlosGen_2016_PID_27336582	flgPa	186	Defense	NA	0.328933	1
Bergelson_Vetter_PlosGen_2016_PID_27336582	flgPsHRm	186	Defense	NA	0.153825	1
Bergelson_Vetter_PlosGen_2016_PID_27336582	flgPsHRp	186	Defense	NA	0.357319	0.98957
Bergelson_Vetter_PlosGen_2016_PID_27336582	flgPv	186	Defense	NA	7.68197e-06	1
Berthom_Aoun_FronPlaSci_2017_PID_28878784	day10_27C_cut	151	Defense	NA	0.0235479	1
Berthom_Aoun_FronPlaSci_2017_PID_28878784	day10_30C_cut	141	Defense	NA	0.328631	1
Berthom_Aoun_FronPlaSci_2017_PID_28878784	day10_30C_uncut	158	Defense	NA	8.07025e-06	1
Berthom_Aoun_FronPlaSci_2017_PID_28878784	day11_27C_cut	151	Defense	NA	7.90836e-06	1
Berthom_Aoun_FronPlaSci_2017_PID_28878784	day11_27C_uncut	161	Defense	NA	0.466955	0.996073
Berthom_Aoun_FronPlaSci_2017_PID_28878784	day12_27C_cut	151	Defense	NA	7.90836e-06	1
