pheno	MSE	NRMSE
LRtot_lowN	0.628195561217141	0.174825279830366
PR_DhighN_vs_lowN	0.714485954677058	0.187896240153527
PR_highN	1.51939332517846	0.136895013603035
PR_lowN	0.615093626598712	0.177770657040442
PR_plus_LRtot_DhighN_vs_lowN	5.87627563789387	0.135653788663446
PR_plus_LRtot_highN	7.13841148859495	0.135214077067939
PR_plus_LRtot_lowN	1.49580837704918	0.176237078165849
SA_DhighN_vs_lowN	0.0019338547087627	0.159430963855116
SA_highN	0.00162063640053821	0.167111368069621
SA_lowN	0.000356834795105231	0.153079994624715
SA_to_PR_DhighN_vs_lowN	2.44047822369913e-05	0.176189772266158
SA_to_PR_highN	0.697467933383164	0.127356550777457
SA_to_PR_lowN	8.54217193071984e-06	0.141983273850755
DTF_Oct_2010	37.8115532326407	0.124224443525433
DTF_Oct_2040	35.0535135656865	0.0925093871473196
DTF_Sep_2010	543.704906063134	0.177319244845438
DTF_Sep_2040	485.408983491349	0.165033700978921
X108_Area_sweden_2009_1st_experiment	34795942.6709692	0.208287586046668
X109_SizePlantingSummer2009	4.0716608520707	0.138444986970972
X110_Size_sweden_2009_2nd_experiment	3.84973271305112	0.13649207477087
X111_SizePlantingSummerLocSweden2009	4.80301465371724	0.159387499597446
X112_Area_sweden_2009_2nd_experiment	14406756.1540607	0.167669720122433
X113_DTF_sweden_2008_1st_experiment	275.792437231787	0.0775727154686975
X114_Yield_sweden_2009_2nd_experiment	0.00153844891876172	0.147455135928826
X115_SizeLocSweden2009	3.72078944434124	0.12924186232857
X116_DTFplantingSummerLocSweden2009	229.258041991135	0.123970874177999
X117_DTFlocSweden2008	178.83951120721	0.0874815138557619
X118_DTFlocSweden2009	77.1199569045987	0.082026488820457
X119_DTF_spain_2009_1st_experiment	43.8320833801966	0.0745980877779327
X120_DTFplantingLoc2008	339.407554273297	0.0953185507014855
X121_DTF_spain_2009_2nd_experiment	156.343611999093	0.0859363843249929
X122_Yield_spain_2009_2nd_experiment	0.00088409542919453	0.1818577508679
X123_Size_sweden_2009_1st_experiment	3.13698639231139	0.114823596235844
X124_Yield_spain_2009_1st_experiment	0.00261703692855513	0.121225078636625
X125_DTFmainEffect2009	46.0599652821139	0.0762728351303319
X126_DTFmainEffect2008	45.9050817139068	0.0713192515872838
X127_Size_spain_2009_2nd_experiment	2.90628972445987	0.13530034627288
X128_Size_spain_2009_1st_experiment	2.68886608371345	0.13413302492993
X129_DTFplantingSummer2009	127.410571628928	0.0925215503375815
X130_DTFplantingSummer2008	195.989058027124	0.102976161896287
X131_SizeMainEffect2009	2.99033234314029	0.141452576147983
X132_DTF_spain_2008_1st_experiment	47.1863723441235	0.0723077237087168
X133_YieldPlantingSummer2009	0.00463630168537307	0.176073881529169
X134_DTF_sweden_2009_1st_experiment	123.523384274969	0.0866597071650581
X135_YieldLocSweden2009	0.0078056037320244	0.14029002679219
