mean	se	signi	param	lower	upper	trait	fitness	env
-0.058	0.034	*	s	-0.12464	0.00864	FT	rSurvival_fruit	tli
-0.092	0.034	***	s	-0.15864	-0.02536	Flowering_time	rSurvival_fruit	tli
-0.05	0.027	***	s	-0.10292	0.00292	DTbolt	rSurvival_fruit	tli
-0.04	0.027	*	s	-0.09292	0.01292	DTfruit	rSurvival_fruit	tli
-0.017	0.011	*	s	-0.03856	0.00456	FT	rSurvival_fruit	thi
-0.046	0.013	***	s	-0.07148	-0.02052	FT10	rSurvival_fruit	thp
-0.019	0.011	*	s	-0.04056	0.00256	FT16	rSurvival_fruit	thp
-0.066	0.03	*	s	-0.1248	-0.00720000000000001	FT	rSurvival_fruit	thp
-0.063	0.031	*	s	-0.12376	-0.00224	DTF_Oct_2040	rSurvival_fruit	thp
-0.085	0.03	***	s	-0.1438	-0.0262	Flowering_time	rSurvival_fruit	thp
-0.041	0.017	*	s	-0.07432	-0.00768	DTbolt	rSurvival_fruit	thp
-0.048	0.018	***	s	-0.08328	-0.01272	DTflower	rSurvival_fruit	thp
-0.05	0.019	***	s	-0.08724	-0.01276	DTfruit	rSurvival_fruit	thp
-0.06	0.009	***	s	-0.07764	-0.04236	FT10	rSeeds	mhi
-0.046	0.008	***	s	-0.06168	-0.03032	FT16	rSeeds	mhi
-0.055	0.016	***	s	-0.08636	-0.02364	FT	rSeeds	mhi
-0.077	0.02	***	s	-0.1162	-0.0378	DTF_Oct_2040	rSeeds	mhi
-0.056	0.016	***	s	-0.08736	-0.02464	Flowering_time	rSeeds	mhi
-0.074	0.013	***	s	-0.09948	-0.04852	DTbolt	rSeeds	mhi
-0.071	0.013	***	s	-0.09648	-0.04552	DTflower	rSeeds	mhi
-0.074	0.013	***	s	-0.09948	-0.04852	DTfruit	rSeeds	mhi
-0.055	0.009	***	s	-0.07264	-0.03736	FT10	rSeeds	mhp
-0.039	0.009	***	s	-0.05664	-0.02136	FT16	rSeeds	mhp
-0.077	0.014	***	s	-0.10444	-0.04956	FT	rSeeds	mhp
-0.062	0.016	***	s	-0.09336	-0.03064	DTF_Oct_2040	rSeeds	mhp
-0.075	0.015	***	s	-0.1044	-0.0456	Flowering_time	rSeeds	mhp
-0.06	0.013	***	s	-0.08548	-0.03452	DTbolt	rSeeds	mhp
-0.067	0.015	***	s	-0.0964	-0.0376	DTflower	rSeeds	mhp
-0.07	0.015	***	s	-0.0994	-0.0406	DTfruit	rSeeds	mhp
-0.044	0.024	*	s	-0.09104	0.00304	FT10	rSeeds	tlp
-0.04	0.022	*	s	-0.08312	0.00312	FT16	rSeeds	tlp
-0.077	0.01	***	s	-0.0966	-0.0574	FT10	rSeeds	thi
-0.06	0.009	***	s	-0.07764	-0.04236	FT16	rSeeds	thi
-0.051	0.016	***	s	-0.08236	-0.01964	FT	rSeeds	thi
-0.117	0.025	***	s	-0.166	-0.068	DTF_Oct_2040	rSeeds	thi
-0.073	0.015	***	s	-0.1024	-0.0436	Flowering_time	rSeeds	thi
-0.094	0.013	***	s	-0.11948	-0.06852	DTbolt	rSeeds	thi
-0.091	0.013	***	s	-0.11648	-0.06552	DTflower	rSeeds	thi
-0.09	0.013	***	s	-0.11548	-0.06452	DTfruit	rSeeds	thi
-0.075	0.009	***	s	-0.09264	-0.05736	FT10	rSeeds	thp
-0.06	0.01	***	s	-0.0796	-0.0404	FT16	rSeeds	thp
-0.069	0.018	***	s	-0.10428	-0.03372	FT	rSeeds	thp
-0.059	0.025	***	s	-0.108	-0.01	DTF_Oct_2040	rSeeds	thp
-0.09	0.019	***	s	-0.12724	-0.05276	Flowering_time	rSeeds	thp
-0.1	0.014	***	s	-0.12744	-0.07256	DTbolt	rSeeds	thp
-0.095	0.014	***	s	-0.12244	-0.06756	DTflower	rSeeds	thp
-0.096	0.015	***	s	-0.1254	-0.0666	DTfruit	rSeeds	thp
