perc_miss	id
0.0143388210302708	8427
0	8464
0	8483
0	8699
0	8723
0	9027
0.359532660647902	9057
0.206585236325013	9058
0.00159320233669676	9067
0.00159320233669676	9069
0.00159320233669676	9070
0.00159320233669676	9075
0.00159320233669676	9078
0.00159320233669676	9079
0.00159320233669676	9081
0.00159320233669676	9084
0.00212426978226235	9085
0.00159320233669676	9089
0.00159320233669676	9091
0.00159320233669676	9095
0.00159320233669676	9099
0.00159320233669676	9100
0.00531067445565587	9102
0.00159320233669676	9103
0.0913436006372809	9104
0.00212426978226235	9105
0.00212426978226235	9106
0.00212426978226235	9111
0.00318640467339352	9113
0.00159320233669676	9114
0.0191184280403611	9115
0.0185873605947955	9121
0.0424853956452469	9125
0.00424853956452469	9128
0.00531067445565587	9130
0.00531067445565587	9131
0.00531067445565587	9133
0.00318640467339352	9134
0.0185873605947955	9298
0.00477960701009028	9312
0.0185873605947955	9314
0.0440785979819437	9321
0.0345193839617631	9323
0.0329261816250664	9332
0.0329261816250664	9336
0.0318640467339352	9339
0.030801911842804	9343
0.0132766861391397	9352
0.0159320233669676	9353
0.0318640467339352	9363
0.0175252257036644	9369
0	9370
0.0361125862984599	9371
0.0323951141795008	9380
0.0148698884758364	9381
0.0138077535847053	9382
0.0132766861391397	9383
0.0233669676048858	9386
0.01805629314923	9388
0.0164630908125332	9390
0.0414232607541158	9391
0.0159320233669676	9392
0.0223048327137546	9394
0.0260223048327138	9395
0.0414232607541158	9399
0.0515135422198619	9402
0.039830058417419	9404
0.0387679235262878	9405
0.0382368560807223	9407
0.0350504514073287	9408
0.0621348911311737	9409
0.0361125862984599	9412
0.0159320233669676	9413
0.0350504514073287	9416
0.057886351566649	9421
0.0371747211895911	9427
0.0382368560807223	9433
0.0175252257036644	9436
0.0159320233669676	9437
0.039830058417419	9442
0.0371747211895911	9450
0.0361125862984599	9451
0.0355815188528943	9452
0.0207116303770579	9453
0.0260223048327138	9454
0.00531067445565587	9455
0.0562931492299522	9470
0.0323951141795008	9471
0.0185873605947955	9476
0.0387679235262878	9481
0.0185873605947955	9503
0.0536378120021243	9506
0.0520446096654275	9507
0.0483271375464684	9508
0.0281465746149761	9509
0.0520446096654275	9510
0.0483271375464684	9511
0.0520446096654275	9512
0.0281465746149761	9513
0.0483271375464684	9514
0.0483271375464684	9515
0.0536378120021243	9517
0.0520446096654275	9518
0.0254912373871482	9519
0.0541688794476899	9520
0.0541688794476899	9521
0.0313329792883696	9522
0.0520446096654275	9523
0.0339883165161976	9524
0.0504514073287307	9525
0.0541688794476899	9526
0.0541688794476899	9527
0.0292087095061073	9528
0.0520446096654275	9529
0.0483271375464684	9530
0.0504514073287307	9531
0.0504514073287307	9532
0.0483271375464684	9533
0.0536378120021243	9534
0.0493892724375996	9535
0.0483271375464684	9536
0.0520446096654275	9537
0.0541688794476899	9539
0.0504514073287307	9540
0.0483271375464684	9541
0.0520446096654275	9542
0.0467339352097716	9543
0.0520446096654275	9544
0.0483271375464684	9545
0.0536378120021243	9546
0.0541688794476899	9547
0.033457249070632	9548
0.0520446096654275	9549
0.0313329792883696	9550
0.0504514073287307	9551
0.0329261816250664	9552
0.0541688794476899	9553
0.0467339352097716	9554
0.0472650026553372	9555
0.0504514073287307	9556
0.0541688794476899	9557
0.0504514073287307	9558
0.0520446096654275	9559
0.0520446096654275	9560
