trait	fitness	env	mean.x	se.x	signi.x	param.x	lower.x	upper.x	mean.y	se.y	signi.y	param.y	lower.y	upper.y
stomata_density	rSurvival_fruit	mlp	-0.051	0.054	ns	beta	-0.15684	0.05484	-0.007	0.019	ns	z	-0.04424	0.03024
stomata_density	rSurvival_fruit	thi	-0.006	0.007	ns	beta	-0.01972	0.00772	-0.003	0.002	ns	z	-0.00692	0.00092
stomata_density	rSurvival_fruit	thp	-0.028	0.012	*	beta	-0.05152	-0.00448	-0.004	0.004	ns	z	-0.01184	0.00384
Stomatal_index_in_first_leaf	rFitness	mli	-0.152	0.048	***	beta	-0.24608	-0.05792	-0.044	0.024	*	z	-0.09104	0.00304
Stomatal_index_in_first_leaf	rFitness	mlp	0.323	0.117	***	beta	0.09368	0.55232	-0.054	0.051	ns	z	-0.15396	0.04596
Stomatal_index_in_first_leaf	rFitness	thi	-0.047	0.016	***	beta	-0.07836	-0.01564	-0.049	0.006	***	z	-0.06076	-0.03724
Stomatal_index_in_first_leaf	rFitness	thp	-0.01	0.017	ns	beta	-0.04332	0.02332	-0.068	0.009	***	z	-0.08564	-0.05036
Stomatal_index_in_first_leaf	rSeeds	mli	-0.007	0.034	ns	beta	-0.07364	0.05964	0.063	0.022	***	z	0.01988	0.10612
Stomatal_index_in_first_leaf	rSeeds	mlp	0.078	0.029	***	beta	0.02116	0.13484	0.052	0.016	***	z	0.02064	0.08336
Stomatal_index_in_first_leaf	rSeeds	thi	-0.043	0.015	***	beta	-0.0724	-0.0136	-0.044	0.005	***	z	-0.0538	-0.0342
Stomatal_index_in_first_leaf	rSeeds	thp	-0.031	0.011	***	beta	-0.05256	-0.00944	-0.048	0.006	***	z	-0.05976	-0.03624
Stomatal_index_in_first_leaf	rSurvival_fruit	mli	-0.124	0.029	***	beta	-0.18084	-0.06716	-0.099	0.018	***	z	-0.13428	-0.06372
Stomatal_index_in_first_leaf	rSurvival_fruit	mlp	0.215	0.084	***	beta	0.05036	0.37964	-0.129	0.039	***	z	-0.20544	-0.05256
Stomatal_index_in_first_leaf	rSurvival_fruit	thi	-0.003	0.005	ns	beta	-0.0128	0.0068	-0.005	0.004	ns	z	-0.01284	0.00284
Stomatal_index_in_first_leaf	rSurvival_fruit	thp	0.023	0.016	ns	beta	-0.00836	0.05436	-0.025	0.008	**	z	-0.04068	-0.00932
X72_Vern_Growth	rFitness	mli	-0.088	0.065	ns	beta	-0.2154	0.0394	-0.02	0.032	ns	z	-0.08272	0.04272
X72_Vern_Growth	rFitness	mlp	-0.132	0.1	ns	beta	-0.328	0.064	-0.043	0.074	ns	z	-0.18804	0.10204
X72_Vern_Growth	rFitness	thi	-0.03	0.011	**	beta	-0.05156	-0.00844	-0.052	0.009	***	z	-0.06964	-0.03436
X72_Vern_Growth	rFitness	thp	-0.057	0.019	***	beta	-0.09424	-0.01976	-0.051	0.011	***	z	-0.07256	-0.02944
X72_Vern_Growth	rSeeds	mli	0.028	0.034	ns	beta	-0.03864	0.09464	0.034	0.026	ns	z	-0.01696	0.08496
X72_Vern_Growth	rSeeds	mlp	-0.016	0.022	ns	beta	-0.05912	0.02712	0.036	0.019	*	z	-0.00124	0.07324
X72_Vern_Growth	rSeeds	thi	-0.037	0.01	***	beta	-0.0566	-0.0174	-0.045	0.007	***	z	-0.05872	-0.03128
X72_Vern_Growth	rSeeds	thp	-0.048	0.014	***	beta	-0.07544	-0.02056	-0.043	0.007	***	z	-0.05672	-0.02928
X72_Vern_Growth	rSurvival_fruit	mli	-0.068	0.042	*	beta	-0.15032	0.01432	-0.044	0.022	*	z	-0.08712	-0.000879999999999999
X72_Vern_Growth	rSurvival_fruit	mlp	0	0.085	ns	beta	-0.1666	0.1666	-0.107	0.05	*	z	-0.205	-0.00899999999999999
X72_Vern_Growth	rSurvival_fruit	thi	0.006	0.007	ns	beta	-0.00772	0.01972	-0.007	0.005	ns	z	-0.0168	0.0028
X72_Vern_Growth	rSurvival_fruit	thp	-0.02	0.017	ns	beta	-0.05332	0.01332	-0.013	0.01	ns	z	-0.0326	0.0066
