paper	phenotype	numaccessions	phenotypecategory	stressstrategy	pve	rho	raw_var	imp_var	rawquant_var	impquant_var	n
Kliebenstein_Chan_Genetics_2010_PID_19737743	Ratio_of_C3_to_SC_Aliphatic_2008	90	Metabolite	Tolerance	0.999983	0.837157	0.169772591587517	0.011974418384806	0.745729328192482	0.984434215602296	67
Kliebenstein_Chan_Genetics_2010_PID_19737743	Ratio_of_C4_methylthio_to_total_C4_2008	90	Metabolite	Tolerance	0.999983	0.961966	0.0171667118950701	0.00128474907400415	0.339501605447897	0.946444786649246	67
Kliebenstein_Chan_Genetics_2010_PID_19737743	Ratio_of_C7_methylthio_to_total_C7_2008	90	Metabolite	Tolerance	0.0951831	1	0.137717593848937	0.0122826098703743	0.696883897651112	0.981060698020376	67
Kliebenstein_Chan_Genetics_2010_PID_19737743	Ratio_of_C7_to_LC_Aliphatic_2008	90	Metabolite	Tolerance	0.974186	0.980508	0.00477725011307101	0.00032606658174642	0.789644476397885	0.986843644561248	67
Kliebenstein_Chan_Genetics_2010_PID_19737743	Ratio_of_C8_methylthio_to_total_C8_2008	90	Metabolite	Tolerance	0.701002	0.456107	0.0157582089552239	0.00100839211620011	0.980638735092938	0.998278860306751	67
Kliebenstein_Chan_Genetics_2010_PID_19737743	Ratio_of_NMOI3M_to_TIND_2008	90	Metabolite	Tolerance	0.989328	0.610197	0.0108954319312528	0.000865663944821263	0.975727149069421	0.997783965598994	67
Kliebenstein_Chan_Genetics_2010_PID_19737743	Ratio_of_TOH4_to_TIND_2008	90	Metabolite	Tolerance	0.988878	0.631424	0.011571460877431	0.00108574281130302	0.97341343082793	0.997836492868598	67
Kliebenstein_Chan_Genetics_2010_PID_19737743	Total_Alkenyl_Aliphatic_2008	90	Metabolite	Tolerance	0.836484	0.738814	52.7850623699683	4.05962829722975	0.875277964610191	0.991832961819695	67
Kliebenstein_Chan_Genetics_2010_PID_19737743	Total_C3_Aliphatic_2008	90	Metabolite	Tolerance	0.728563	0.816845	35.9044769335142	3.26841426792675	0.996043452578706	0.999280296752647	67
Kliebenstein_Chan_Genetics_2010_PID_19737743	Total_C3_and_C4_Aliphatic_2008	90	Metabolite	Tolerance	0.745161	0.607378	36.4826227046585	2.65898964420075	0.996032659537281	0.998153753289607	67
Kliebenstein_Chan_Genetics_2010_PID_19737743	Total_C4_Aliphatic_2008	90	Metabolite	Tolerance	0.999983	0.877756	28.047544957033	2.01588780029296	0.783531843481067	0.986540217980808	67
Kliebenstein_Chan_Genetics_2010_PID_19737743	Total_C5_Aliphatic_2008	90	Metabolite	Tolerance	0.316454	1	0.000316236996834012	2.11113083001189e-05	0.302810589211193	0.497210353619218	67
Kliebenstein_Chan_Genetics_2010_PID_19737743	Total_C7_Aliphatic_2008	90	Metabolite	Tolerance	0.999983	0.979275	0.0266684305744007	0.00179595384875961	0.788995858054844	0.986622525576753	67
Kliebenstein_Chan_Genetics_2010_PID_19737743	Total_C7_and_C8_Aliphatic_2008	90	Metabolite	Tolerance	0.96207	0.588605	0.638104839439168	0.0501799820536715	0.99585750869543	0.999270459211837	67
