h_mean	h_median	h_2.5%	h_97.5%	PVE_mean	PVE_median	PVE_2.5%	PVE_97.5%	rho_mean	rho_median	rho_2.5%	rho_97.5%	PGE_mean	PGE_median	PGE_2.5%	PGE_97.5%	pi_mean	pi_median	pi_2.5%	pi_97.5%	n.gamma_mean	n.gamma_median	n.gamma_2.5%	n.gamma_97.5%	pheno
0.997866134464	0.9993502	0.9895773	0.9999727	0.990972900925	0.9965685	0.9606806	0.9998479	0.969236843104	0.9741423	0.9066717	0.9925569	0.857187947409	0.8930546	0.6818373	0.9606398	8.7432860306e-05	9.120588e-05	7.107286e-05	9.819914e-05	17.56766	19	11	22	16S_OTU1076_1077
0.28957386321351	0.2537436	0.0122098925	0.7511935825	0.176955605840625	0.1389327	0.0048201425	0.54628922	0.544484981597415	0.5672545	0.032654	0.980050915	0.233360763207098	0.14114445	0	0.8818143225	0.00028566776346839	9.41706e-05	9.2450751e-06	0.001353335	34.16407	11	0	161	16S_OTU11_12
0.34469653747403	0.2907364	0.011047489	0.8661753	0.202536618967462	0.15264	0.004716289275	0.628723435	0.645657710717605	0.71855365	0.0515239885	0.9900217	0.362134902184794	0.3050468	0	0.9465413075	0.00019921869889087	7.078316e-05	9.1281264e-06	0.0009251541875	23.83356	9	0	111	16S_OTU110_111
0.66516642304823	0.7333727	0.06146408	0.9995726	0.458388235013709	0.43691435	0.02966007825	0.9983355	0.823562636912402	0.907919	0.1588156625	0.9969452525	0.627571705015752	0.6871551	0.01773433225	0.9835021	0.00016731809360796	6.91102e-05	9.949077e-06	0.001046643	21.28287	10	1	129	16S_OTU116_117
0.999425821083	0.999885	0.9953333	0.9999957	0.996774839393	0.9995645	0.9712375	0.9999857	0.965419515791	0.9703039	0.9277362	0.9853173	0.822856792674	0.831969	0.6989069	0.8942864	0.000789146744258	0.0007785017	0.0007084572	0.0009100042	92.95954	93	90	98	16S_OTU12_13
0.262175880534557	0.2281373	0.01064962925	0.6898782825	0.149474527753377	0.11843295	0.0040317947	0.4582794825	0.567945821961974	0.6021088	0.0389580575	0.9827758	0.246049058297964	0.14893955	0	0.8958163225	0.00017774601928824	6.0298515e-05	8.945627825e-06	0.00110906235	21.12003	7	0	131	16S_OTU125_126
0.44430002276378	0.4408386	0.028517563	0.87954731	0.299288150093082	0.2791905	0.01160348025	0.7041176	0.630612371728775	0.6965197	0.049261044	0.9898817125	0.370980486479136	0.3048429	0	0.9622952	0.0001241169338399	5.7568225e-05	9.472579375e-06	0.0006293396	15.16127	7	0	75	16S_OTU129_130
0.998101141818	0.9989228	0.991625	0.9999317	0.986029754684	0.9912184	0.9366676	0.999116	0.993327004071	0.9940144	0.9764406	0.999356	0.945962683936	0.9488819	0.8487246	0.9939001	0.000682854437938	0.00068491	0.0005652054	0.0007803716	88.58112	88	84	95	16S_OTU15_16
0.851263893513	0.8802386	0.5844593975	0.974528	0.656036156998	0.6708456	0.4226426	0.8201789	0.946472469711	0.97292385	0.7522954	0.9990223	0.860707789313	0.8917867	0.5815791	0.9944668	5.628058965018e-05	4.242926e-05	9.082193e-06	0.0001571498	7.47092	7	2	16	16S_OTU151_152
0.298383054534081	0.26777205	0.0134560375	0.7395546725	0.178781830890179	0.1469414	0.005603164125	0.5232868725	0.587411271165643	0.62736375	0.0428215755	0.9848449	0.300222510261401	0.214744	0	0.92867652	0.00043256286065124	0.0001434454	1.0242859e-05	0.00205150285	52.14549	17	0	246	16S_OTU154_155
0.355260801757075	0.2422275	0.008509256725	0.950973	0.220639885906917	0.1167025	0.003548198175	0.8057828	0.713778313521932	0.81483515	0.07099144	0.99414724	0.462128738357897	0.4788807	4.50038297500012e-05	0.9723979	0.00047456326957408	7.946591e-05	9.31633015e-06	0.00194298275	57.39667	10	1	229	16S_OTU157_158
0.999000227752	0.9997984	0.9934024	0.9999942	0.996570287827	0.9990868	0.9782066	0.9999846	0.929729232212	0.9489139	0.8213196	0.9805229	0.764833954402	0.7898448	0.5343659	0.9162222	0.001100312121165	0.001107667	0.000958158	0.001256948	131.90482	133	114	140	16S_OTU159_160
0.999629005304	0.9998935	0.9959491	0.9998935	0.997942374598	0.9992139	0.9819307	0.9992798	0.991193757968	0.990724	0.9774508	0.9964635	0.944611829782	0.935856	0.8914502	0.9762958	0.00100728204302	0.001075908	0.0008618557	0.001104196	126.10408	130	117	132	16S_OTU17_18
0.317051468825184	0.29207565	0.01486155425	0.7536967025	0.20084692536988	0.1669207	0.006252922925	0.5671907	0.548175878240419	0.5725306	0.03521526475	0.9795751225	0.25491827626659	0.1647235	0	0.897406955	0.00059024249663303	0.00014262065	9.4951669e-06	0.00245574405	70.97736	17	0	291	16S_OTU1782_1783
0.513584671032123	0.5452688	0.03439915	0.8852476	0.263954015086318	0.26762285	0.01302212525	0.52898	0.828485204717575	0.9105713	0.1660644125	0.9969503325	0.605343068892152	0.6742472	0.0002335195	0.9845406	2.900581387753e-05	1.743071e-05	8.553019e-06	0.0001192026	3.73017	3	1	15	16S_OTU18_19
0.991089283255	0.9982368	0.9673217	0.9999148	0.974904649036	0.9929967	0.8415178	0.9996885	0.973552449123	0.9758251	0.90512	0.9992574	0.866255976502	0.8302148	0.7365991	0.9984499	5.93829913021e-05	5.557144e-05	4.774142e-05	7.350458e-05	16.95423	16	12	22	16S_OTU190_191
0.844616293244055	0.95782	0.10645998	0.9852644	0.650245362734114	0.7339053	0.04884606075	0.8685491	0.909871266234116	0.9862038	0.248927245	0.9994093	0.778393759552574	0.8885969	0.01070778	0.9922659	0.00010585583611139	9.763075e-05	1.068920625e-05	0.0002329297725	14.9257	17	1	27	16S_OTU193_194
0.171360698836061	0.131275	0.005149742	0.5495447725	0.084765060363604	0.062137055	0.002119329975	0.289365675	0.583799268758165	0.624896	0.03999663225	0.986341585	0.267838131945799	0.1760517	0	0.9121414	0.00044403510490456	0.0001131394	9.5566103e-06	0.001747257875	53.20386	14	0	210	16S_OTU197_198
0.92773154293053	0.95643625	0.6867625	0.9927485	0.768791053321729	0.7952374	0.4233246	0.942977	0.94801681359322	0.9760796	0.7237834075	0.9988048	0.818755104195635	0.8602894	0.4483051	0.9916857	8.592960322125e-05	7.097987e-05	1.267814e-05	0.0001978824	11.76929	11	3	26	16S_OTU199_200
0.986390026185	0.9978124	0.9006095	0.9998594	0.962912055545	0.9920902	0.7914533	0.9992794	0.979749277085	0.9867589	0.9241057	0.996114	0.937416839101	0.9459465	0.8554073	0.9844017	5.869146526304e-05	6.472935e-05	2.361642e-05	6.969598e-05	18.94179	20	8	25	16S_OTU200_201
0.228717734250219	0.1921377	0.00876296285	0.6417222925	0.121643453580171	0.095757515	0.00353624675	0.375428715	0.591210424278878	0.63638535	0.0406569115	0.98580847	0.282079441765323	0.18926055	0	0.9211796	0.00026344819855111	0.00012281055	9.518161275e-06	0.001231911375	31.45271	15	0	150	16S_OTU202_203
0.999417617626	0.9998652	0.9978801	0.999996	0.996462276714	0.9992937	0.9866072	0.9999691	0.983717852597	0.9806245	0.9702935	0.9954711	0.903245232035	0.9003874	0.846141	0.9467123	0.000166970071784	0.0001665049	0.0001562709	0.0001785693	22.25493	22	17	26	16S_OTU2052_2053
0.188753769473152	0.1458023	0.0061335321	0.597024789999999	0.0893213547279173	0.06618373	0.00225729785	0.2996144025	0.604148880318573	0.6541048	0.04358158	0.9881710575	0.267866873039937	0.16569915	0	0.921694385	0.00013139533724281	5.2282735e-05	8.9798155e-06	0.000879857784999999	15.6245	6	0	106	16S_OTU219_220
0.999315879245	0.9998993	0.9953081	0.9999277	0.998383776382	0.999742	0.9903161	0.9997975	0.997347239695	0.9986939	0.9867102	0.9996556	0.993508088239	0.9962871	0.9748054	0.9993136	0.00165644769579	0.001654298	0.001563437	0.00180803	207.51623	206	204	216	16S_OTU22_23
0.999892523615	0.9999964	0.9992859	0.9999964	0.999420409986	0.9999784	0.9975108	0.9999784	0.990469696203	0.9908974	0.9870565	0.9930067	0.94724632555	0.9527545	0.8848839	0.9596953	0.00113239757808	0.001097776	0.001097776	0.001206353	128.84834	128	127	131	16S_OTU225_226
