ft,wue,dorm,lat
GPC4,-0.127635585608049,-0.049789292118596,-0.293564160100975,-0.141137266746659
prec8,0.00371806738149233,-0.0496360675412606,0.0483697942976656,-0.138011424310512
GPC7,-0.0618740052035834,-0.0455846710431338,0.0431355573775203,-0.142222738028302
id.1,-0.0182639136806831,-0.0439044791559418,-0.187903125498887,0.135615030660896
bio18,0.0108368574288187,-0.0427854044376398,0.0380472364167056,-0.118146650111597
bio9,-0.0656624372748364,-0.0364286433076711,-0.0221884419350677,0.060383825888474
prec7,0.0354980522856271,-0.035898530774245,0.0304928431392237,-0.114045618439554
temp_min6,0.0197831081084798,-0.0314510850668004,-0.0422710099054626,0.134561613376543
bio8,0.0635963872338808,-0.0217400921903032,-0.01115309562786,0.0852361723303174
prec6,-0.00727962045323944,-0.017470646167899,0.0235884607777895,-0.0785650925390028
temp_min7,0.0145241461835936,-0.0145288667631114,-0.034538122767571,0.142501208173626
GPC15,0.00516660768759007,-0.0133117283400344,-0.0821481195265463,0.0264438483690312
GPC5,-0.0173706764238403,-0.0129724254690364,0.161013381779402,-0.133994923978416
prec5,-0.0533464748655709,-0.0105564255078051,0.026987252832736,-0.0163992417215672
temp_max5,0.0393963890275959,-0.00883359649722359,-0.124329469012798,0.141258789170049
bio15,0.00862714991568922,-0.00216146864964828,-0.0860803583266903,0.128367495407895
GPC12,-0.0405803410692126,0.00781079666602087,0.0441583150011061,0.0754185131435889
temp_max9,-0.00609158974870781,0.00929264493608632,-0.108569716777789,0.162425235638745
bio10,0.0272173935779067,0.0121824001983293,-0.0916295134777955,0.172183826686052
latitude,0.0125941788766762,0.0134675927027272,0.100029764343483,-0.150340438282847
GPC13,0.0725771515941663,0.0168568381644899,-0.0929299975543964,-0.053870333662895
GPC3,0.0101088076479912,0.0208309313250751,-0.0487142962582848,-0.131736518139913
GPC10,0.0192377137844078,0.0247585690599841,0.0890939385387966,-0.114902759347994
GPC8,-0.119798594759443,0.0404237819473898,-0.145915735525515,-0.0837560902794826
temp_max6,0.0491315506869691,0.0418655174131675,-0.12250257572119,0.170875768448404
temp_max8,0.00932278341782326,0.0451659755155643,-0.109475743727664,0.180784477479289
GPC9,0.0468109213945022,0.0522728029756377,-0.0353612818654903,0.0483157888735237
GPC11,0.0876198575279991,0.0555847335939171,-0.121617599012828,0.0268883808582224
temp_max7,0.0309156247252566,0.0590300696997881,-0.109007075371158,0.186403575282571
bio5,0.0346270060347357,0.0621238848409647,-0.113377155388472,0.19147373794599
GPC14,-0.0123778738572442,0.0650667341475613,-0.0265951307019892,0.0410776406914586
GPC17,-0.0169268274417822,0.0775739413420196,-0.0395803982720328,0.0717790362345058
GPC16,0.0706181781348347,0.0946923097701043,0.0324114439815367,0.0354996412116469
bio2,0.0513626661763821,0.106120687764571,-0.170796826016533,0.168670888774425
bio4,0.0980872448822233,0.1184764674816,-0.111879461924564,0.114114109865815
longitude,0.0274697214940277,0.127192741606117,0.109179563682958,0.0706578734789828
bio7,0.091587861912234,0.130553326065455,-0.160820959162984,0.144636570651381
long,0.116743532780735,0.206401871808707,0.150499244205207,0.332383436781063
lat,0.225472536445277,0.249519369649342,-0.363474213054024,1
ft,1,0.381369535441111,-0.0588356688028551,0.225472536445277
wue,0.381369535441111,1,-0.364453083937475,0.249519369649342
