ft,wue,dorm,gr,lat,long
GPC14,-0.0120177858358838,0.0398365270272277,0.0951755074796122,-0.0847167774135717,0.0631623035314649,-0.0390524797622969
prec1,-0.0116588687703676,-0.156958445131666,0.229488792798153,-0.111209356801198,-0.0853154767626865,0.0195534598565426
bio15,-0.0101039819174773,0.00731535853961861,0.244948290341113,0.0963973170116908,0.264133944524331,0.0254916158254409
bio19,-0.00820887062041729,-0.169459070100028,0.204170228522145,-0.115411656148562,-0.0798932507509773,0.0241871982236382
longitude,-0.00784967435473503,0.170838355745475,-0.565554422001577,-0.0999574193142776,0.224078838316087,0.0810729089038709
GPC6,-0.00564462429479782,-0.148869259508823,-0.811444754752677,-0.0698632889656296,-0.261830624791292,-0.0894687308699742
GPC5,-0.00281505413766658,-0.0160425583260137,0.491586804313514,0.0934975165917003,-0.319671023846743,-0.215515977191936
prec12,-0.000601621166465817,-0.173828992475128,0.22269059209224,-0.0850930195928589,-0.0931632034734388,0.0176588317976801
GPC3,0.00188427017952642,0.108259396894084,-0.242489715352635,0.0315530304859196,-0.124291787109888,0.000890465232676882
prec11,0.00606163348540818,-0.175673714297727,0.212674470062696,-0.0752845018987554,-0.0933034099039872,0.00161686377620156
bio14,0.00904603374681826,-0.0808988572920475,-0.330154574023915,-0.131341183204239,-0.293032357874813,0.0201903033295489
temp_max9,0.0111872349677523,-0.0502124576773815,0.460106746356084,0.0889317882706232,0.176708944402426,-0.000951688914052671
GPC12,0.015403590947283,-0.00571467516973845,-0.0911114045140361,-0.135439170872658,-0.0548987003804179,0.0927188343876789
bio13,0.0170602312893083,-0.145531100018678,-0.170790070352353,-0.0781380094200419,-0.0661832519497346,0.00409052173669143
bio16,0.0174320148121538,-0.154196074943709,-0.116645379543931,-0.0791486967821329,-0.0828147737670858,0.014777387428622
GPC15,0.017861331777034,-0.0116669598974733,0.188039573849034,-0.00800600830103057,0.0100622509179194,-0.00726718709093356
bio17,0.0185282712095732,-0.10482742932287,-0.27352355082578,-0.115805306309336,-0.291515883197559,0.00471535330202866
GPC10,0.0218486096217722,-0.000163955862886717,-0.0701702039756244,0.0382300307492031,-0.0497760992190162,0.19424520409536
temp_min5,0.0245975018155095,-0.121515430275446,-0.0280166755740252,0.0870368472150864,0.144349183356091,0.0752216506846632
prec3,0.0252703137297139,-0.184382417356442,-0.0349706031949207,-0.0815697795444605,-0.128207107827665,0.0252491976767134
temp_max8,0.0255145973993019,0.00184216611861728,0.453595140014806,0.108628309778576,0.200236202423824,-0.0236663141836212
prec10,0.0303409091306784,-0.14517814897739,0.173533112253187,-0.083006674881081,-0.0462972632792512,0.00657629422890976
temp_min8,0.0306463291354884,-0.110524976021792,0.270366567136153,0.110589647475262,0.145652588076592,0.0315397201283876
bio12,0.0376193511201885,-0.150460247480866,-0.119458595837081,-0.0962193132567006,-0.164398868821181,0.00644121320676903
prec5,0.0391410924594524,-0.0491364892310311,-0.251203535339923,-0.078938703568137,-0.137025342645456,0.0199453551089125
temp_max7,0.049104857104719,0.0320121307370244,0.455401957271901,0.127225123181357,0.207430172637647,-0.0440488517799228
bio5,0.0504773026680787,0.0326605420285719,0.456740160683492,0.126960678516838,0.210534972500826,-0.042172155879322
GPC1,0.0508781136801192,-0.0861574794328161,0.198361189990569,0.019254127265681,-0.246349143553428,-0.139500231170207
prec4,0.0527416623460699,-0.129642500206721,0.0639953555173333,-0.0357762806422714,-0.0818846372883021,0.00638053489325017
bio2,0.0528894682458594,0.106706976090272,0.631923503417524,0.0950670188311914,0.171914583118855,-0.0888978935620945
prec6,0.0530400909721525,-0.00243031330968012,-0.534651896934,-0.0643153196188554,-0.219637388393344,-0.0120620616193692
GPC9,0.0537639016114278,0.0477957837137728,0.325242411445708,0.0388239361434921,-0.0788233213726414,-0.048407036896171
bio10,0.056274651170583,-0.0280585865833144,0.356095698037893,0.134999460466286,0.198337818760952,-0.0112494674466698
prec9,0.0621308624060867,-0.0982968213806256,-0.283525518213883,-0.0628837518565309,-0.23151118215076,-0.0411024413052103
temp_min7,0.0666561181135472,-0.0618717465397657,0.264540440155692,0.136393388120165,0.168631773734489,0.0141563917995429
long,0.0696625239098862,0.209836942796365,0.375142400982027,-0.0375283291771231,0.254266943187456,1
temp_max5,0.071780140703543,-0.0264440600026907,0.10543083286528,0.132619298125688,0.171610058791559,-0.0291503448677883
temp_min6,0.0725645366004532,-0.0744318614585227,0.149176120881314,0.143569056266016,0.175225032713525,0.0296683596859775
prec8,0.0751443970512568,-0.0450828093741155,-0.529873433260184,-0.0716281632238331,-0.258521385041722,-0.040496736507683
temp_max6,0.0786198281774703,0.0211367262474982,0.357664238638768,0.155880626824862,0.19591573123897,-0.047502633511465
GPC13,0.0868064073268964,0.0497128962243423,-0.0440602955834524,-0.0359675365656027,0.0112751045882335,0.263374398125948
bio18,0.088753303584601,-0.0282154387706424,-0.532728080857453,-0.0481659157653441,-0.238462821447404,-0.00798809794908304
GPC16,0.0938328336007844,0.103803790264682,-0.203417420979749,0.00222251909207866,0.0415885825156865,-0.0989892644570215
GPC11,0.101079697020869,0.023636109056141,0.0316347083551679,0.0717062687462807,0.0214068735305647,-0.0658073589789845
prec7,0.102435403929884,-0.0112815760324867,-0.526699815597201,-0.0211024838385676,-0.211513475506883,-0.000810546606295935
bio8,0.122196450343975,0.0403937694086932,-0.554392441610618,0.127282372823088,0.0442381219729733,-0.0270719842652608
bio7,0.137528879567578,0.149187395891074,0.594546839911419,0.154780787069392,0.141026074336599,-0.0747467888249439
bio4,0.157145618277932,0.145507265193361,-0.122678225388129,0.156828139998707,0.118737678069147,-0.0604181995319842
lat,0.180800017368753,0.221114337817633,-0.508296848196295,0.225389038578422,1,0.254266943187456
dorm,0.339745920917137,-0.153468485998285,1,-0.0659018288883106,-0.508296848196295,0.375142400982027
wue,0.348738243912666,1,-0.153468485998285,0.308666461878294,0.221114337817633,0.209836942796365
gr,0.709100882178919,0.308666461878294,-0.0659018288883106,1,0.225389038578422,-0.0375283291771231
ft,1,0.348738243912666,0.339745920917137,0.709100882178919,0.180800017368753,0.0696625239098862
