id	FT16	DSDS10	X116_DTFplantingSummerLocSweden2009	X118_DTFlocSweden2009	X120_DTFplantingLoc2008	Average_root_width_day001	Euclidian_length_day001	Relative_root_growth_rate_day001.day002	Relative_root_growth_rate_day004.day005	Root_angle_day001	Root_angle_day003	Root_directional_equivalent_day002	Root_growth_rate_day004.day005	Root_linearity_avg	Root_linearity_day001	Root_linearity_day002	Root_tortuosity_day003	Root_tortuosity_day005	Root_width_100_day001	Root_width_100_day004	Root_width_100_day005	Root_width_40_day002	FT_tli	FT_tlp	RosetteArea_mild_drought	RosetteArea_well_watered	StomatalIndex_mild_drought	StomatalIndex_well_watered	RGRav	RGRbv	leucine_exp1	proline_exp1	rhamnose_1_exp2	Delta_13C	stomata_density	stomatasize	First_leaf_area	Stomatal_density_in_cotyledon	Stomatal_density_in_first_leaf	Stomatal_index_in_first_leaf	X29_FLC	X32_FT_Duration_GH	X39_After_Vern_Growth	X45_Germ_22	X59_Germ_10	X6_Leaf_serr_10	X60_Germ_16	X68_Germ_in_dark	X69_FRI	X72_Vern_Growth	X77_Trichome_avg_JA	X90_Seedling_Growth	X92_Leaf_serr_22	X94_Seed_Dormancy	X294_Germination_rate_21C	Germination_22C	Germination_30C	d8_10C_perc	DTgerm	germination_3days	Growth_rate	RGR	ABA_96h_low_water_potential	drought_index
9785	45.25	125.801047495569	10.5188988	-3.06667705	6.63496956000001	4.76477649273	136.3411963624	1.09404864673	0.26965073965	-1.95541801797	-3.90975850201	0.32279879572	153.251935163	0.61223717562	0.62179058923	0.57761177647	1.10386314213	1.09576684543	4.10375965211	4.03799443886	4.10357810689	4.35478448067	163.882010062495	167.546821431286	253.440521379	682.279712898	44.164727	46.321343	0.14838005633	0.28727539072	2.89620999607556	6.2993538810541	8.36738594539089	-36.457250016434	123.377089947089	112.305320722682	25.057	36.853	59.995	22.0216	0.50652	21.705834	0.090996019	2.05	5.81	0.695	3.06	56.90222478	0.862274	0.00367625439	39.334	0.0078427876	0.7875	22.42	70.86100565117	0.736788380867499	0.462341213956795	87.74630542	2	41.533	6.218793103	101.2666362	80.54	-0.000357502303333333
9786	40.25	155.625709129013	10.5087285	-1.93851373000021	5.82701718000001	4.77187254057	134.9079546387	1.16513206902	0.26543668407	-1.68732586382	-3.32587395112	0.32503773962	155.037404237	0.61321279467	0.62693668109	0.59040976325	1.10267441486	1.09721994335	4.07434095432	4.00013162001	4.10261887201	4.33022887895	161.466343801894	165.955601473347	235.791586782	668.471569461	44.146117	47.56893	0.14387070569	0.28547137839	2.77849514384844	5.67229088197991	8.21797802386302	-36.4761820250925	128.095238095238	114.277885172874	25.214	35.9956	57.9277	21.976	0.72559	21.490713	0.086815387	2.05	5.69	0.7075	3.03	56.36528568	0.942826	0.0034262088	39.272	0.00765226	0.83	36.04	50.79662433207	0.774230931372549	0.283433047563801	75.52447552	2	46.582	5.54596979451841	127.777850458815	91.9629999999999	-7.92511337468672e-05
9787	49.33333333	90.7430637271062	10.4782475	1.70243538999979	5.82942686	4.77780614846	130.7122931974	1.19019421721	0.27012380042	-1.82889574128	-3.12993721605	0.32224121047	154.904274576	0.60681532667	0.62443870932	0.60263498443	1.10012794595	1.0950752286	4.12310352107	4.01944324059	4.07878271276	4.35080282489	166	169	305.247403323	690.197157733	43.587599	46.203889	0.14451198697	0.28662680003	2.53494656263028	6.26043242473194	7.93144230479298	-35.9083121647348	127.023346961674	115.346944191285	27.288	32.3089	56.8644	22.1624	1.04632	24.133269	0.089233102	2.16	5.93	0.655	3.06	58.1833726	1.104916	0.0037443481	40.493	0.0080699805	0.8075	35.82	44.98276244202	0.837054030658087	0.184396371872238	61.1471708819334	2.09333333333333	23.056	7.9583101935299	124.218045045247	96.5249999999999	-4.96520795021644e-06
9788	38.33333333	108.573875828902	11.0681935	-1.54332361000011	5.83930019000001	4.78773607663	133.0411507495	1.18163876267	0.26509415803	-1.96049165224	-2.89350803741	0.31952881179	154.196690178	0.60659555764	0.63622962049	0.59040393691	1.10210971805	1.09567575532	4.08360438511	3.98692639842	4.08395333101	4.352424578	163.460365415957	166.923036710139	243.658435051	670.566724075	44.383913	48.114955	0.14639191736	0.28245414316	2.64289332885345	5.77957908853684	8.13428076308962	-36.4883787281901	121.783174603174	116.147209115957	25.234	34.4877	58.786	22.1143	0.59382	21.204676	0.09115697	2.06	5.7	0.7175	3.03	58.71434418	0.906302	0.0038790286	39.238	0.0076410665	0.84	36.93	53.52911578796	0.808756422182908	0.35599624476912	64.0233441780372	2.1	33.616	7.40851575507123	123.335085876168	94.22	-0.000108100555726191
9789	42.25	129.165511299343	10.9608482	-2.81438839	6.3076962	4.76974984943	138.3608404869	1.13638967681	0.26718799087	-2.22147204838	-4.04322059269	0.32376367867	157.442455076	0.6143947931	0.61145293486	0.59489615887	1.10319976346	1.09697192498	4.10973785167	4.02037087668	4.10396247	4.33703866461	164.25	167.236500002883	252.481110289	678.60472798	44.795027	46.340371	0.14563791683	0.28682136233	2.98438781745277	6.28908418471702	8.40306909715401	-36.2687820660469	122.903968253972	112.937100959111	24.943	36.6023	60.7655	22.0373	0.60698	21.841093	0.090120012	2.12	5.93	0.68	3.05	55.10169384	1.015715	0.0035453505	38.817	0.0079453369	0.8125	21.93	67.61301932926	0.74306554248366	0.317157833004414	87.66025641	2	44.626	7.58072770020277	125.710570487286	80.946	-8.98335543333334e-05
9790	41.75	109.314649430199	10.7602083	-2.54709491000011	6.32707434000001	4.77899124351	137.3413752206	1.13611712927	0.26823751558	-1.98957418903	-3.77333793004	0.32229111974	154.992484917	0.61040856685	0.62622408139	0.59096594332	1.10263979057	1.09711603065	4.11810578701	4.04171529218	4.09364426172	4.34218926026	165.6	172	247.075862886	688.376974826	44.48946	47.668652	0.14607463982	0.28687835326	2.75551438659048	6.35044400273264	8.30707421124179	-36.3796841954192	127.685925925926	114.949154863308	25.538	36.6408	60.0018	22.1283	0.66045	22.070895	0.090172452	2.06	5.84	0.665	3.03	55.68853228	0.968855	0.0034437355	39.64	0.007818871	0.7775	30.11	56.04739527255	0.742379506598493	0.315066088956795	76.06060606	2	41.337	8.4259168056852	124.409342863326	86.504	-0.000133298457666667
9791	38.33333333	121.553137865939	11.4195498	-2.69779912000021	6.0882996	4.77852522655	138.162879813	1.14069477061	0.26453872092	-1.68501219448	-3.89320271993	0.32407356557	153.990510003	0.60767501306	0.63220696062	0.587894783	1.10104183208	1.09741206504	4.1017972037	3.98919668778	4.10203075822	4.33637078289	161.8571429	164.6666667	247.688721715	651.806353625	44.224593	46.837739	0.14958960935	0.28512782186	2.62568868935295	6.05015255734399	8.12872370596571	-36.2896741160281	131.267910052914	112.451165383325	25.122	34.8412	58.8506	22.2304	0.785670000000001	21.266895	0.090589342	2.06	5.82	0.66	3.03	58.03374514	0.971723	0.00370493441	39.079	0.0076875967	0.8125	35.68	59.34364205433	0.722032140274704	0.264314572320653	69.31818182	2	39.642	7.7138407267927	125.995476210744	89.533	-6.27486480714286e-05
9792	42.75	137.801865557584	10.7887918	-3.74674663	5.92103259	4.74253330362	140.196271012	1.11918786198	0.26609937098	-2.17286055573	-3.73700068449	0.32209289859	155.281197876	0.61599997707	0.61752873853	0.58353327669	1.10317829137	1.09573149625	4.07380467237	4.00283354564	4.10515961457	4.34251004559	163.413575751264	167.214802912697	243.378607775	665.577139441	44.78921	46.87209	0.14822415189	0.28918524636	2.73350411894827	6.23986122339345	8.32757865831049	-36.874824869186	123.187089947092	112.107598769993	23.777	36.9943	60.9129	21.6326	0.57088	21.139396	0.089876917	2.08	5.82	0.71	3.08	54.57255924	0.887867	0.00364005894	39.304	0.0079409224	0.785	23.44	68.47261049293	0.76655454248366	0.48476549967108	90.90909091	2	47.347	7.29754231513385	126.076470270643	83.18	-0.0002805138435
9793	63.33333333	176.655354328443	9.7793158	0.175738959999786	4.44354646	4.77618404385	131.5274801771	1.22135627556	0.26804181743	-1.43189951092	-3.2370221952	0.32377790306	151.355533136	0.60652628356	0.62889286117	0.58184418009	1.10040069115	1.09710498037	4.07998741658	3.97573416125	4.11204127551	4.34604883981	161.854609191362	165.345122753865	258.062643283	671.06145382	44.637994	46.76286	0.14469360423	0.28275543433	2.52862785581124	5.33890807564405	7.93805886827172	-36.3687200635956	126.177539682543	112.113449265492	25.49	33.0825	57.9431999999999	21.9086	0.74969	21.45721	0.08694605	2.06	5.6	0.69	3.01	61.53136628	0.910244	0.00364542726	40.764	0.0076230855	0.805	49.85	51.18563192677	0.754228857057975	0.202160070439618	61.7558491803455	2.25830952380952	40.795	2.258877551	174.1624613	85.264	-0.000112964150088604
9794	44.5	112.25730565202	10.7587587	-1.64247802000021	4.97803936	4.77783572405	133.2709776272	1.17164658907	0.26690484562	-1.91152955162	-3.00639842267	0.32142576695	155.627305391	0.61133033368	0.63053293972	0.58899750416	1.10081560003	1.09571678037	4.11384218013	3.99412232078	4.08510565017	4.35136501948	163.632925664488	167.1475552275	269.255644673	677.525257847	44.571355	47.560243	0.14683883463	0.28520284516	2.39317353841579	5.86426831607649	7.97163727781932	-36.4644899204415	124.792380952379	114.919195404424	25.726	34.9225	57.8447999999999	22.411	0.61457	21.676495	0.089545882	2.08	5.87	0.695	3.03	59.73899268	1.044289	0.003817574	40.236	0.0078151914	0.815	36.84	53.13855057496	0.816317449229692	0.32842849967108	62.4254014677272	2.134	31.877	7.002857143	115.8895465	94.326	-9.6982161271645e-05
9795	38.25	102.069878504274	10.3080223	1.51192885999989	5.03964953	4.77974897131	130.372302943	1.17899825231	0.26935501978	-2.25127605315	-3.30256914229	0.32722654692	153.448535087	0.6065883754	0.62350024615	0.59240517323	1.10489768485	1.09658454019	4.13274317966	4.00141806842	4.0929960402	4.33673431055	160.8571429	168.6666667	269.547289188	670.808324183	43.831436	46.835359	0.14323966768	0.28747287649	2.41635785317655	5.61203830858045	8.07243928080825	-35.1496771009	83.3333333333	129.4436	26.732	32.5276	57.461	22.0394	0.973370000000001	23.016322	0.089267222	2.08	5.8	0.6575	3.05	61.84585314	1.134426	0.00365066888	40.746	0.0079438262	0.81	42.63	47.78906998133	0.78135889440513	0.240368347826723	60.466409742075	2.27833333333333	24.793	7.15475492548871	127.073794283927	96.152	-9.1941006876259e-07
9796	46	105.04158065202	10.7392119	-1.60433374000021	5.51534872	4.78012919835	132.5872953455	1.16838861101	0.26577186566	-1.74090315058	-3.01070660544	0.3189706508	156.579159433	0.60926724018	0.63568604208	0.58994429923	1.10063825486	1.0966709355	4.11807028594	3.98625147236	4.09771038623	4.34520926688	163.420436918936	167.063752197538	256.973565227	683.925183197	44.428519	47.594705	0.14654662822	0.28424111953	2.54072496717466	5.80628087019122	8.11643817719771	-36.4326312012625	124.373730158729	114.778209803874	25.883	34.7893	59.3813999999999	22.0594	0.60833	21.459732	0.0903055139999999	2.06	5.79	0.6925	3.03	59.65911928	1.00996	0.00375762604	39.581	0.0076688134	0.8225	34.59	53.38800428712	0.804905732057975	0.32675224476912	63.1117555304022	2.10011111111111	31.658	6.724310345	134.7216048	90.79	-0.000124533824234962
9797	46.5	100.361215267405	10.8202522	-1.09164649000011	5.2674237	4.78868660992	132.6080142595	1.16280192566	0.2615511074	-1.71366058067	-2.92222563998	0.3214795758	156.306699384	0.60564706183	0.63408825061	0.5968263443	1.10079204516	1.09637042632	4.11516251547	3.99134211808	4.07376495603	4.34213036404	163.622640018791	167.036995584188	266.846372801	657.524208927	44.411218	47.318047	0.14767255173	0.28482934311	2.57983245566213	5.63620364022551	8.06324525532669	-36.4102850800071	122.249841269839	115.909318063559	25.794	33.9066	59.0645	22.1555	0.63469	21.625016	0.089733221	2.06	5.81	0.7175	3.05	61.92054218	1.033871	0.00366081419	39.645	0.0077119824	0.815	35.56	52.86975570752	0.809010782563025	0.33679449967108	62.9303179126772	2.08611111111111	31.283	8.06967907597957	124.279741883463	96.11	-8.43505139968672e-05
9798	44.66666667	115.581251213518	11.2268213	-1.70045312000021	5.06448531	4.80589423923	133.6910166185	1.18060112975	0.26336337397	-1.97518473933	-3.00275790025	0.32134622421	156.786282195	0.6073821733	0.64275280257	0.5839841188	1.10143606792	1.09581981833	4.09777140063	3.98824129036	4.09724154136	4.34923523145	163.31458720125	166.661615112659	245.606268038	669.580717407	44.521127	47.462649	0.14429704327	0.28254025927	2.73152440071972	5.65172285673244	8.06738899937165	-36.5297669722145	123.285767195772	115.444649690327	25.168	35.133	59.4069	21.9323	0.62044	21.143329	0.090563846	2.05	5.68	0.7075	3.03	60.82935192	0.921337	0.003682435	39.706	0.0076425416	0.8375	39.02	54.15597853718	0.807117057103543	0.295506833004414	62.806860943423	2.141	31.268	4.657980769	118.1506456	94.836	-8.49263402380952e-05
9799	50.5	134.042994914645	10.7149548	0.208239289999786	5.48584274000001	4.77959029817	134.4188185445	1.22597942452	0.26567570462	-2.19673856784	-3.514204346	0.3211517347	155.6298777789	0.60761783066	0.63086168212	0.58521290307	1.10027834462	1.09610611161	4.07178708701	3.98552141566	4.07582028828	4.36430576182	162.5	167	259.684826669	666.024211595	43.171744	46.194333	0.14455547226	0.28317299537	2.36927228655706	5.32695073928882	7.93655417330388	-36.0488263824743	133.681111111108	112.100753944072	25.607	32.3692	56.3731	21.5849	1.0068	22.127136	0.087235452	2.12	5.84	0.7425	3.01	60.18195954	0.950262	0.00371570613	39.204	0.007758775	0.84	51.07	36.46809147068	0.663011618606175	0.0893181166175725	22.62068966	2	37.714	7.36971002254623	128.261942604329	93.989	-1.75657621950464e-05
9800	42.5	118.590193076263	10.9517596	-1.46854449000021	5.44200693	4.77683585936	132.7134678555	1.15427520289	0.26586385077	-2.00002559616	-3.25182765259	0.32268868736	153.542713492	0.60443862872	0.63254800048	0.58895680327	1.10170848265	1.09681614389	4.11767485611	3.99743838368	4.0981160829	4.35319028136	163.783049234984	166.937046300662	248.145061337	678.875645201	44.286301	47.815996	0.14588950134	0.28157506918	2.63827913346841	5.76694508941144	8.12790574324277	-36.301946111016	121.377566137571	115.787401292508	26.362	34.3156	58.7532	22.3691	0.59358	21.322103	0.091390924	2.06	5.76	0.7	3.04	60.55278498	0.964423	0.0036030808	38.994	0.0077214829	0.84	36.77	50.4179582467	0.780626927233413	0.31168224476912	62.8378738956997	2.21111111111111	31.46	7.54027027	136.0652856	95.515	-0.000164336343996867
9801	36.33333333	114.124489742929	10.6299227	-0.799096540000214	5.27264383000001	4.79903924	132.5760809895	1.17722614857	0.26237960069	-2.07020139739	-3.13228213635	0.32221129185	155.239755159	0.60617188129	0.63411858906	0.58862635232	1.10127831023	1.09669908985	4.10407796313	3.99059401533	4.09692188585	4.34282514501	163.453101488208	166.222395506117	241.997844291	675.740828526	44.47832	47.12639	0.14388335667	0.28271009221	2.67523710949238	5.6283343056396	8.14356289857619	-36.481732026839	122.701904761906	115.989007074454	25.035	34.875	59.1539	22.0816	0.62946	21.39656	0.091921542	2.06	5.66	0.705	3.03	58.80263198	0.916897	0.00379864999	40.266	0.0077021319	0.8375	40.94	53.3226681611	0.808015376468952	0.33704224476912	63.5036889331395	2.09611111111111	33.318	8.169574468	130.4880622	91.23	-0.000108017672568296
9802	42.75	108.150651923077	10.7088502	-0.175992410000214	4.58772774	4.76972086297	131.8889831025	1.20773451935	0.26825461454	-2.29381297229	-3.197274828	0.32207971661	152.055743259	0.6037327821	0.62997019091	0.59139211958	1.10050987577	1.09543218809	4.1071724515	3.98779283181	4.1044234646	4.34530319969	160.3333333	168.5	258.181567997	665.718845002	44.288839	46.812151	0.14505523975	0.28536109014	2.54794607453833	5.32818662931987	8.06703664337185	-36.3369989759494	122.044576719575	114.781766366731	26.28	32.7211	57.9898999999999	21.876	0.85027	21.583903	0.087663915	2.08	5.78	0.6825	3.02	62.62761718	0.952348	0.00354637675	39.98	0.0079139715	0.7975	43.23	48.34467496175	0.782209380335866	0.222335954004329	62.0658158941541	2.105	37.302	6.38836277237384	130.793180116452	94.152	-3.49246656992481e-05
9803	41.25	89.970534010989	10.6046489	1.43043705999989	4.96978777	4.75853977272	129.6875779808	1.19895400074	0.2757760436	-2.10014048152	-2.76669244703	0.32325820321	158.545350584	0.60759862857	0.63819323992	0.60301666526	1.10174455629	1.09550394724	4.13083833677	4.00529697889	4.11139993405	4.35844535439	167.1428571	167	290.954628055	703.79469751	43.815401	45.331219	0.14310929389	0.28175791495	2.61049624478014	6.05764330141312	7.9560718129727	-35.98896676914	123.430723104056	113.998210883375	27.176	31.9571	56.2516	22.4561	1.15043	25.666644	0.084483581	2.1	6	0.66	3.01	67.45474222	1.200668	0.00374873765	42.273	0.0080773323	0.76	37.3	50.52988708773	0.798056890436877	0.170015705001411	60.8198278276352	2.13	27.152	8.375462185	107.9421141	96.0929999999999	0.000164154
9804	45.75	85.6357663003663	11.7191791	-0.522710440000107	5.25458905000001	4.78413630828	131.6630508092	1.2017942514	0.268135962	-1.33662555597	-3.24490256814	0.3238396074	152.710680538	0.60963735759	0.6218300049	0.59628387125	1.10015410208	1.09548955389	4.11847314753	4.02578168487	4.10377169785	4.33430133759	164.8	166.405968558769	279.689315803	698.30632097	43.544044	46.420703	0.14607009933	0.28112968253	2.51068093413365	5.89108486466417	7.91389029210638	-37.0390664705	100	118.6305	26.289	32.0285	56.689	22.0325	0.873040000000001	22.573121	0.08611267	2.15	5.96	0.6425	3.06	61.48321508	1.143745	0.00353287309	39.364	0.0078793483	0.7775	38.99	42.93818151883	0.85781372377021	0.179969519543895	63.331763445336	2.19611111111111	29.224	7.380560748	128.0495046	98.552	-8.49e-05
